time_id	event_id	reltype
t1	e1	after
t1	e2	after
t1	e3	during
t1	e4	after
t1	e5	before
t1	e7	during
t1	e8	contains
t2	e9	contains
t2	e10	after
t2	e11	after
t2	e12	contains
t2	e13	before
t2	e14	during
t2	e15	contains
t3	e9	contains
t3	e10	after
t3	e11	after
t3	e12	contains
t3	e13	before
t3	e14	during
t3	e15	contains
t4	e9	before
t4	e10	contains
t4	e11	vague
t4	e12	before
t4	e13	before
t4	e14	before
t4	e15	before
t5	e9	before
t5	e10	before
t5	e11	equal
t5	e12	before
t5	e13	before
t5	e14	before
t5	e15	before
t6	e9	after
t6	e10	after
t6	e11	after
t6	e12	after
t6	e13	contains
t6	e15	after
tnew1	e29	after
tnew1	e31	after
t9	e29	contains
tnew2	e39	after
tnew2	e40	contains
tnew2	e41	after
tnew2	e42	after
tnew2	e43	after
tnew2	e44	contains
t10	e45	vague
t10	e46	contains
t10	e47	vague
t10	e48	vague
t10	e50	contains
t10	e51	contains
t11	e52	contains
t11	e53	after
t11	e55	contains
t12	e56	after
t12	e57	before
t12	e58	contains
t12	e59	before
t12	e61	contains
tnew3	e63	contains
t13	e70	contains
