time_id	event_id	reltype
t2	e7	after
t2	e8	contains
t3	e16	contains
t3	e17	contains
t4	e18	after
t4	e19	after
t4	e20	contains
t4	e22	contains
t5	e41	contains
t5	e42	contains
t5	e43	before
t6	e46	contains
t6	e47	before
t6	e48	before
t6	e49	contains
t6	e50	contains
t7	e46	after
t7	e47	contains
t7	e48	contains
t7	e49	after
t7	e50	after
t9	e54	during
t9	e55	contains
t9	e56	contains
t9	e58	contains
t10	e59	contains
t10	e60	contains
t10	e61	after
t10	e62	after
t10	e63	after
t11	e64	contains
t11	e65	before
t11	e66	before
t12	e64	contains
t12	e65	before
t12	e66	before
t13	e71	contains
t13	e73	after
t16	e74	during
t16	e75	contains
t16	e76	before
t16	e77	before
t17	e79	during
t17	e81	before
t18	e79	during
t18	e81	contains
t19	e85	contains
t20	e88	after
t20	e89	after
t20	e91	contains
