time_id	event_id	reltype
t1	e1	contains
t1	e2	contains
t1	e3	contains
t2	e1	contains
t2	e2	contains
t2	e3	contains
t3	e1	contains
t3	e2	contains
t3	e3	contains
t4	e4	contains
t4	e5	contains
t4	e6	contains
t4	e7	contains
t4	e8	contains
t5	e4	contains
t5	e5	contains
t5	e6	contains
t5	e7	contains
t5	e8	contains
t6	e4	contains
t6	e5	contains
t6	e6	contains
t6	e7	contains
t6	e8	contains
t7	e23	contains
t7	e25	contains
t8	e23	contains
t8	e25	contains
t9	e31	contains
t10	e33	after
t10	e34	contains
t10	e35	contains
t11	e33	contains
t11	e34	contains
t11	e35	contains
t12	e38	contains
t12	e39	contains
t13	e38	contains
t13	e39	contains
t14	e40	contains
t14	e41	contains
t15	e52	overlaps
t15	e53	overlaps
t15	e54	before
t16	e52	during
t16	e54	contains
t17	e55	before
t18	e55	before
t19	e55	contains
t20	e56	overlapped-by
t20	e57	contains
t21	e56	contains
t21	e57	contains
t22	e58	overlapped-by
t23	e58	contains
t25	e61	during
