time_id	event_id	reltype
t1	e1	contains
t1	e2	after
t1	e3	after
t1	e4	after
t2	e1	before
t2	e2	contains
t2	e3	vague
t2	e4	contains
t3	e1	before
t3	e2	before
t3	e3	before
t3	e4	before
t4	e1	before
t4	e3	vague
t4	e4	contains
t6	e9	during
t6	e11	contains
t6	e12	before
t6	e13	during
t6	e14	before
t6	e15	contains
t7	e9	during
t7	e11	after
t7	e12	contains
t7	e13	during
t7	e14	contains
t7	e15	after
t8	e9	before
t8	e11	before
t8	e12	before
t8	e13	overlaps
t8	e14	before
t8	e15	before
t9	e16	vague
t9	e17	vague
t9	e18	overlapped-by
t10	e16	equal
t10	e17	equal
t10	e18	vague
t11	e19	contains
t12	e30	before
t12	e31	before
t12	e32	contains
tnew2	e30	vague
tnew2	e31	vague
tnew2	e32	vague
t13	e33	contains
t14	e34	before
t15	e34	contains
t17	e35	contains
t17	e36	after
t18	e35	before
t18	e36	contains
tnew3	e35	before
tnew3	e36	before
t19	e35	vague
t19	e36	contains
t20	e41	before
t21	e41	before
t22	e46	during
t22	e47	before
t22	e48	contains
t23	e46	during
t23	e47	overlaps
t23	e48	after
t24	e53	before
t24	e54	contains
t25	e53	contains
t25	e54	contains
tnew4	e53	before
tnew4	e54	before
