time_id	event_id	reltype
t1	e1	contains
t2	e9	contains
t2	e10	before
t3	e9	after
t3	e10	contains
t4	e13	contains
t5	e13	contains
t6	e22	contains
t7	e24	during
t7	e25	contains
t8	e27	before
t8	e28	contains
t8	e29	contains
t8	e32	before
t9	e34	after
t10	e34	met-by
t11	e43	contains
t11	e44	contains
t12	e43	before
t12	e44	before
t13	e43	equal
t13	e44	equal
t14	e61	contains
t14	e62	before
t14	e64	before
t15	e61	after
t15	e62	contains
t16	e61	after
t16	e62	after
t16	e64	after
t17	e65	after
t17	e66	after
t17	e68	after
t17	e69	contains
