time_id	event_id	reltype
t2	e1	after
t2	e2	after
t2	e3	after
t2	e4	after
t3	e1	contains
t3	e2	before
t3	e3	before
t3	e4	before
t4	e1	before
t4	e2	before
t4	e3	before
t4	e4	before
t7	e13	after
t7	e14	after
t7	e15	after
t8	e13	after
t8	e14	after
t8	e15	after
t11	e26	after
t11	e27	during
t11	e28	after
t12	e26	contains
t12	e27	overlaps
t12	e28	before
t13	e26	contains
t13	e27	equal
t13	e28	contains
t16	e39	after
t16	e40	after
t16	e41	after
t16	e42	after
t17	e39	after
t17	e40	after
t17	e41	after
t17	e42	after
t20	e43	vague
t20	e44	during
t21	e51	after
t21	e52	after
t21	e54	during
t21	e55	after
t22	e56	after
t22	e57	during
t22	e58	during
t23	e56	after
t23	e57	during
t23	e58	during
t24	e56	contains
t24	e57	overlaps
t24	e58	overlaps
t25	e66	after
t25	e67	before
t26	e66	after
t26	e67	before
t29	e82	after
t29	e83	after
t30	e82	after
t30	e83	after
t31	e84	after
t31	e85	after
t31	e86	contains
t32	e84	after
t32	e85	after
t32	e86	contains
t33	e90	during
t33	e91	after
t34	e90	during
t34	e91	after
t35	e92	during
t35	e93	after
t36	e92	during
t36	e93	after
t37	e95	after
t38	e95	after
t39	e101	after
t39	e102	after
t40	e101	after
t40	e102	after
t41	e107	starts
t42	e107	starts
t43	e108	contains
t43	e109	contains
t43	e110	after
t43	e111	before
t43	e112	after
t43	e116	after
t44	e108	meets
t44	e109	before
t44	e110	contains
t44	e111	before
t44	e112	contains
t44	e116	contains
t45	e127	contains
t45	e128	contains
t45	e129	before
t45	e130	before
