time_id	event_id	reltype
t1	e2	contains
t3	e21	after
t5	e33	contains
t6	e35	contains
t6	e37	contains
t6	e38	contains
t8	e39	after
tnew1	e57	contains
t10	e59	vague
t10	e60	contains
t10	e61	before
t11	e59	vague
t11	e60	after
t11	e61	contains
t13	e62	after
t15	e80	after
t15	e81	contains
t15	e83	contains
t17	e84	after
t19	e110	after
t19	e111	after
t20	e110	overlapped-by
t20	e111	contains
t22	e112	after
t24	e127	vague
t24	e128	before
t24	e129	before
t25	e127	vague
t25	e128	contains
t25	e129	contains
t26	e130	during
t26	e131	contains
t28	e132	after
t32	e146	contains
t32	e147	before
t33	e146	after
t33	e147	contains
t35	e148	after
t38	e163	contains
t38	e165	contains
t39	e166	after
t41	e186	contains
t41	e187	after
t41	e188	contains
t43	e189	after
t45	e201	contains
t45	e202	before
t46	e201	after
t46	e202	contains
t47	e204	contains
t47	e205	contains
t47	e206	before
t48	e204	before
t48	e205	before
t48	e206	before
t49	e204	after
t49	e205	after
t49	e206	contains
t50	e213	before
t50	e214	before
t50	e217	before
t50	e218	before
t51	e228	equal
t51	e230	before
t51	e233	before
t51	e234	vague
t51	e235	vague
t52	e228	vague
t52	e230	vague
t52	e233	vague
t52	e234	before
t52	e235	before
