time_id	event_id	reltype
t1	e13	during
t1	e14	vague
t1	e15	contains
t2	e16	after
t3	e17	contains
t3	e18	contains
t4	e31	equal
tnew1	e71	contains
tnew1	e72	contains
t5	e75	equal
t6	e75	equal
t6	e76	before
t7	e81	contains
t7	e82	contains
tnew2	e96	contains
tnew2	e97	contains
t8	e139	before
t8	e140	before
t9	e139	starts
t9	e140	contains
t10	e139	overlapped-by
t10	e140	contains
t11	e151	contains
t11	e152	contains
t11	e153	contains
t12	e181	contains
t12	e182	contains
t12	e183	contains
t13	e196	contains
t13	e197	contains
t14	e201	overlapped-by
t14	e202	before
t16	e213	after
tnew3	e216	after
