time_id	event_id	reltype
t2	e2	contains
t3	e4	after
t3	e6	vague
t5	e14	contains
t6	e17	vague
t7	e26	after
t7	e27	equal
t7	e28	before
t8	e30	vague
t8	e32	vague
t8	e33	vague
t9	e41	before
t9	e42	vague
t9	e43	vague
t10	e53	after
t10	e56	contains
t10	e57	before
t10	e59	vague
t10	e60	before
t10	e61	before
t10	e62	vague
t10	e63	vague
t11	e64	equal
t12	e65	vague
t12	e66	vague
t13	e73	vague
t13	e74	vague
t13	e75	vague
t13	e76	vague
t14	e73	vague
t14	e74	vague
t14	e75	vague
t14	e76	vague
t15	e77	vague
t16	e77	vague
t17	e123	contains
t17	e124	contains
tnew1	e125	after
tnew1	e127	after
tnew1	e128	contains
tnew1	e129	after
t18	e136	before
t18	e137	before
t18	e138	before
t18	e139	before
t19	e140	before
t19	e141	before
t20	e159	after
t20	e160	after
t20	e161	after
t21	e159	after
t21	e160	after
t21	e161	after
tnew2	e163	contains
