time_id	event_id	reltype
t2	e2	before
t2	e3	vague
t3	e4	before
t4	e8	contains
t5	e14	contains
t6	e19	vague
t7	e19	vague
t8	e25	before
t8	e27	before
t8	e29	before
t8	e31	before
t9	e32	contains
t9	e33	contains
t10	e34	contains
t10	e35	during
t10	e36	before
t10	e37	before
t12	e64	contains
t14	e69	before
t14	e70	before
t15	e66	after
t15	e68	after
t15	e69	after
t15	e70	contains
t16	e81	contains
t16	e82	before
t16	e83	before
t16	e84	before
t17	e81	after
t17	e82	contains
t17	e83	contains
t17	e84	contains
t18	e85	contains
t19	e89	contains
t19	e90	before
t20	e95	contains
t20	e97	before
t21	e115	contains
t22	e126	after
t22	e127	before
t23	e126	contains
t23	e127	before
t24	e139	vague
t25	e139	contains
tnew2	e140	contains
tnew2	e141	contains
t26	e144	contains
t28	e151	after
