time_id	event_id	reltype
t1	e3	contains
t2	e6	contains
t2	e7	contains
t2	e8	contains
t2	e10	overlaps
t2	e12	overlaps
t2	e13	contains
t2	e14	contains
t3	e15	contains
t3	e16	before
t6	e19	before
t7	e21	before
t7	e22	before
t9	e25	contains
t11	e30	after
t11	e31	contains
t11	e32	before
t12	e30	after
t12	e31	equal
t12	e32	before
tnew1	e33	after
tnew1	e34	contains
tnew1	e35	contains
tnew1	e36	overlapped-by
tnew1	e37	after
t13	e39	after
t13	e40	after
t13	e41	after
t15	e64	contains
t15	e65	after
t16	e66	started-by
t16	e68	contains
t17	e69	after
t17	e70	after
t18	e72	contains
t19	e72	contains
t20	e76	after
t21	e81	contains
t21	e82	before
t21	e83	before
tnew2	e84	contains
tnew2	e85	after
tnew2	e86	contains
tnew2	e88	after
t24	e98	contains
t25	e98	contains
t26	e99	equal
t26	e100	before
t27	e101	contains
t27	e102	contains
t27	e103	contains
t27	e104	overlaps
t28	e105	contains
t28	e106	contains
t28	e107	contains
t28	e108	after
t29	e115	after
t29	e116	after
t29	e117	after
t30	e123	contains
t30	e125	before
t30	e126	before
t32	e131	contains
t32	e132	contains
t32	e133	contains
