time_id	event_id	reltype
t1	e2	contains
t1	e3	contains
t1	e4	contains
t1	e5	contains
t2	e1	after
t2	e2	after
t2	e3	after
t2	e4	after
t2	e5	after
t3	e6	after
t3	e7	after
t3	e8	contains
t4	e11	before
t5	e11	before
t7	e12	contains
t7	e13	contains
tnew1	e12	contains
tnew1	e13	equal
t8	e19	contains
t8	e20	contains
t8	e21	contains
tnew2	e40	contains
tnew2	e41	contains
t9	e40	contains
t9	e41	contains
tnew3	e40	contains
tnew3	e41	contains
t10	e40	contains
t10	e41	contains
t11	e42	contains
t11	e43	contains
t11	e44	contains
t12	e47	after
t12	e48	after
t12	e49	after
t13	e47	vague
t14	e50	contains
tnew4	e51	contains
tnew4	e52	contains
tnew4	e53	contains
tnew4	e54	contains
tnew4	e55	contains
t15	e51	contains
t15	e52	contains
t15	e53	contains
t15	e54	contains
t15	e55	contains
t19	e56	after
t20	e60	contains
tnew5	e63	during
tnew5	e64	during
tnew5	e65	after
tnew5	e66	after
tnew5	e69	during
tnew5	e71	after
tnew5	e72	after
tnew5	e73	contains
