time_id	event_id	reltype
t4	e3	during
t4	e4	before
t4	e5	contains
t5	e6	contains
t5	e7	contains
t6	e10	contains
t7	e12	contains
t7	e13	contains
t7	e14	overlaps
t7	e15	before
t8	e20	after
t8	e21	after
tnew1	e41	during
tnew1	e42	overlapped-by
tnew1	e43	contains
tnew1	e44	before
t11	e45	after
t13	e48	contains
t13	e49	before
t14	e48	after
t14	e49	contains
t15	e50	overlapped-by
t17	e56	overlapped-by
t17	e58	contains
t18	e62	after
t20	e86	equal
t20	e87	vague
t21	e88	contains
t22	e91	contains
t22	e92	overlaps
t23	e110	equal
t23	e111	vague
