time_id	event_id	reltype
t1	e1	during
t1	e3	before
t1	e4	contains
t2	e11	contains
t2	e13	before
t3	e11	after
t3	e13	overlapped-by
t4	e14	before
t5	e14	contains
t6	e14	contains
t7	e15	contains
t7	e16	during
t7	e17	contains
t7	e18	contains
t8	e23	during
t8	e24	during
t8	e25	after
t8	e26	before
t8	e27	contains
t9	e34	contains
t9	e35	contains
t9	e36	after
tnew2	e34	before
tnew2	e35	before
tnew2	e36	equal
t10	e37	overlaps
t10	e38	contains
t10	e39	after
tnew3	e37	contains
tnew3	e38	contains
tnew3	e39	contains
t11	e37	before
t11	e38	before
t11	e39	contains
t12	e40	contains
t13	e41	after
t13	e42	after
t13	e43	contains
t14	e44	during
t14	e45	contains
t14	e46	contains
t15	e55	vague
t15	e56	after
t15	e57	after
t15	e59	after
t16	e60	contains
t17	e60	contains
t18	e61	contains
t19	e62	contains
t19	e63	after
t19	e64	contains
