time_id	event_id	reltype
t2	e3	contains
t2	e5	before
t2	e6	contains
t3	e3	contains
t3	e5	before
t3	e6	contains
t4	e3	before
t4	e5	before
t4	e6	before
t5	e3	after
t5	e5	contains
t5	e6	after
t6	e9	contains
t6	e11	overlaps
t7	e9	vague
t7	e11	overlaps
t8	e9	after
t8	e11	equal
t9	e12	vague
t9	e13	vague
t10	e12	vague
t10	e13	vague
t11	e16	contains
t11	e18	before
t12	e16	after
t12	e18	before
t13	e16	after
t13	e17	after
t13	e18	contains
t14	e16	after
t14	e17	after
t14	e18	after
t15	e19	contains
t16	e19	contains
t17	e19	after
t18	e19	contains
t19	e20	contains
t19	e21	contains
t20	e20	after
t20	e21	contains
t21	e20	contains
t21	e21	contains
t22	e23	after
t22	e24	contains
t22	e25	vague
t23	e23	contains
t23	e24	overlaps
t23	e25	contains
t24	e23	after
t24	e24	during
t24	e25	after
t27	e31	before
t28	e31	contains
t29	e33	vague
t29	e35	vague
t30	e33	vague
t30	e35	vague
t31	e37	before
t32	e37	before
t33	e37	before
t34	e37	before
t35	e37	before
t36	e37	contains
t37	e37	contains
t39	e40	after
t39	e41	after
t39	e42	contains
t40	e40	after
t40	e41	after
t40	e42	contains
t41	e40	after
t41	e41	after
t41	e42	contains
t42	e40	after
t42	e41	after
t42	e42	contains
t43	e40	after
t43	e41	after
t43	e42	contains
t44	e40	after
t44	e41	after
t44	e42	contains
t48	e45	before
t48	e46	before
t48	e48	during
t49	e49	contains
t49	e50	contains
t49	e51	contains
t51	e56	after
t51	e57	after
t52	e61	before
t52	e62	after
t52	e64	before
t52	e65	after
t53	e60	vague
t53	e61	vague
t53	e62	vague
t53	e64	vague
t53	e65	vague
t54	e60	contains
t54	e61	vague
t54	e62	after
t54	e64	vague
t54	e65	after
t55	e60	after
t55	e61	contains
t55	e62	after
t55	e64	contains
t55	e65	after
t56	e60	before
t56	e61	vague
t56	e62	contains
t56	e64	before
t56	e65	contains
t57	e61	before
t57	e62	after
t57	e64	before
t57	e65	after
t58	e60	before
t58	e61	before
t58	e62	overlaps
t58	e64	before
t58	e65	contains
t59	e60	after
t59	e61	contains
t59	e62	after
t59	e64	contains
t59	e65	after
t60	e68	starts
t68	e73	after
t68	e74	contains
