time_id	event_id	reltype
t1	e21	overlaps
t2	e21	overlapped-by
t3	e21	before
t4	e46	before
t4	e47	before
t4	e48	before
t5	e46	contains
t5	e47	contains
t5	e48	contains
t6	e47	contains
t6	e48	contains
t7	e59	after
t7	e60	after
t7	e61	after
t8	e59	before
t8	e60	before
t8	e61	before
t10	e80	vague
t10	e81	contains
t10	e82	contains
t10	e83	after
t11	e84	contains
t11	e85	vague
t11	e86	vague
t11	e87	vague
t15	e133	contains
t16	e133	contains
tnew1	e136	contains
t17	e137	overlaps
t18	e137	overlapped-by
tnew2	e137	contains
t19	e141	contains
t19	e142	contains
t20	e143	equal
t20	e144	before
t21	e145	before
t21	e147	before
t22	e145	before
t22	e147	before
t23	e147	contains
t24	e150	contains
t24	e151	contains
t24	e152	contains
t24	e153	before
