time_id	event_id	reltype
t1	e13	contains
t1	e14	contains
t1	e15	before
t2	e13	contains
t2	e14	contains
t2	e15	contains
t3	e13	contains
t3	e14	contains
t3	e15	contains
t4	e17	equal
t5	e18	after
t5	e19	equal
t6	e21	before
t7	e22	equal
t8	e22	equal
t9	e23	equal
t9	e24	equal
t10	e25	equal
t10	e26	equal
t11	e28	contains
t12	e29	vague
t12	e30	vague
t13	e29	vague
t13	e30	vague
t14	e29	after
t14	e30	contains
t15	e31	contains
t16	e50	contains
t16	e51	contains
t16	e52	before
t16	e53	before
t16	e54	before
t17	e59	during
t17	e60	during
t17	e61	overlaps
t17	e62	before
t18	e63	vague
t18	e64	vague
t18	e65	vague
t18	e66	after
t18	e67	after
