time_id	event_id	reltype
t2	e2	after
t2	e3	contains
t2	e5	after
t2	e7	contains
t2	e8	contains
t2	e9	contains
t3	e2	after
t3	e3	contains
t3	e5	after
t3	e7	contains
t3	e8	contains
t3	e9	contains
t4	e2	after
t4	e3	after
t4	e5	after
t4	e7	after
t4	e8	after
t4	e9	after
t5	e11	contains
t5	e12	contains
t5	e13	contains
t6	e18	overlaps
t6	e19	overlaps
t7	e18	overlapped-by
t7	e19	overlapped-by
tnew1	e20	contains
t8	e21	vague
t8	e22	contains
t8	e23	contains
t9	e24	contains
t10	e25	contains
t10	e26	before
t10	e27	before
t11	e25	after
t11	e26	started-by
t11	e27	contains
t12	e30	contains
t12	e32	contains
t13	e30	contains
t13	e32	contains
t14	e33	contains
t14	e34	contains
t14	e36	contains
t14	e37	contains
t15	e33	contains
t15	e34	contains
t15	e36	contains
t15	e37	contains
t16	e33	contains
t16	e34	contains
t16	e36	contains
t16	e37	contains
