time_id	event_id	reltype
t1	e3	during
t1	e4	contains
t1	e5	contains
t1	e6	contains
t1	e7	contains
tnew1	e8	contains
t2	e9	contains
t2	e10	contains
t2	e11	contains
t3	e17	contains
t3	e19	before
t4	e17	after
t4	e19	contains
t5	e30	before
t5	e31	after
t5	e32	after
t5	e33	contains
t5	e34	contains
t6	e30	contains
t6	e31	after
t6	e32	after
t6	e33	after
t6	e34	after
t7	e35	contains
t7	e36	contains
t8	e37	contains
t8	e38	before
t8	e39	before
t8	e41	before
t8	e43	before
t9	e37	after
t9	e38	before
t9	e39	before
t9	e41	before
t9	e43	contains
t10	e37	after
t10	e38	during
t10	e39	vague
t10	e41	contains
t10	e43	after
t11	e44	contains
t11	e45	contains
t11	e46	contains
t12	e47	contains
t13	e49	overlapped-by
t13	e50	before
t13	e51	before
t13	e52	before
t13	e53	contains
t13	e54	contains
t14	e55	during
t14	e56	during
t14	e57	after
t14	e58	contains
t14	e59	after
t16	e76	contains
t16	e77	before
t16	e78	before
t16	e79	before
