time_sent_id	time_index	time_word	time_id	event_sent_id	event_index	event_word	event_id	reltype
A017n_PN1f_00002-3	2	二十	t1	A017n_PN1f_00002-3	36	切っ	e1	contains
A017n_PN1f_00002-3	2	二十	t1	A017n_PN1f_00002-3	40	一	e2	contains
A017n_PN1f_00002-3	2	二十	t1	A017n_PN1f_00002-3	46	き	e3	contains
A017n_PN1f_00002-3	20	四	t2	A017n_PN1f_00002-3	36	切っ	e1	contains
A017n_PN1f_00002-3	20	四	t2	A017n_PN1f_00002-3	40	一	e2	contains
A017n_PN1f_00002-3	20	四	t2	A017n_PN1f_00002-3	46	き	e3	contains
A017n_PN1f_00002-3	27	二	t3	A017n_PN1f_00002-3	36	切っ	e1	contains
A017n_PN1f_00002-3	27	二	t3	A017n_PN1f_00002-3	40	一	e2	contains
A017n_PN1f_00002-3	27	二	t3	A017n_PN1f_00002-3	46	き	e3	contains
A017n_PN1f_00002-4	20	四	t4	A017n_PN1f_00002-4	6	受け	e4	contains
A017n_PN1f_00002-4	20	四	t4	A017n_PN1f_00002-4	12	駆けつける	e5	contains
A017n_PN1f_00002-4	20	四	t4	A017n_PN1f_00002-4	30	死ん	e6	contains
A017n_PN1f_00002-4	20	四	t4	A017n_PN1f_00002-4	45	し	e7	contains
A017n_PN1f_00002-4	20	四	t4	A017n_PN1f_00002-4	49	運ば	e8	contains
A017n_PN1f_00002-4	26	七	t5	A017n_PN1f_00002-4	6	受け	e4	contains
A017n_PN1f_00002-4	26	七	t5	A017n_PN1f_00002-4	12	駆けつける	e5	contains
A017n_PN1f_00002-4	26	七	t5	A017n_PN1f_00002-4	30	死ん	e6	contains
A017n_PN1f_00002-4	26	七	t5	A017n_PN1f_00002-4	45	し	e7	contains
A017n_PN1f_00002-4	26	七	t5	A017n_PN1f_00002-4	49	運ば	e8	contains
A017n_PN1f_00002-4	36	二	t6	A017n_PN1f_00002-4	6	受け	e4	contains
A017n_PN1f_00002-4	36	二	t6	A017n_PN1f_00002-4	12	駆けつける	e5	contains
A017n_PN1f_00002-4	36	二	t6	A017n_PN1f_00002-4	30	死ん	e6	contains
A017n_PN1f_00002-4	36	二	t6	A017n_PN1f_00002-4	45	し	e7	contains
A017n_PN1f_00002-4	36	二	t6	A017n_PN1f_00002-4	49	運ば	e8	contains
A017n_PN1f_00002-11	2	二十	t7	A017n_PN1f_00002-11	47	殴ら	e23	contains
A017n_PN1f_00002-11	2	二十	t7	A017n_PN1f_00002-11	55	負っ	e25	contains
A017n_PN1f_00002-11	38	四	t8	A017n_PN1f_00002-11	47	殴ら	e23	contains
A017n_PN1f_00002-11	38	四	t8	A017n_PN1f_00002-11	55	負っ	e25	contains
A017n_PN1f_00002-14	1	三十	t9	A017n_PN1f_00002-14	9	着	e31	contains
A017n_PN1f_00002-17	29	二十	t10	A017n_PN1f_00002-17	13	捨て	e33	after
A017n_PN1f_00002-17	29	二十	t10	A017n_PN1f_00002-17	16	し	e34	contains
A017n_PN1f_00002-17	29	二十	t10	A017n_PN1f_00002-17	62	逮捕	e35	contains
A017n_PN1f_00002-17	58	二	t11	A017n_PN1f_00002-17	13	捨て	e33	contains
A017n_PN1f_00002-17	58	二	t11	A017n_PN1f_00002-17	16	し	e34	contains
A017n_PN1f_00002-17	58	二	t11	A017n_PN1f_00002-17	62	逮捕	e35	contains
A017n_PN1f_00002-19	10	三	t12	A017n_PN1f_00002-19	24	来	e38	contains
A017n_PN1f_00002-19	10	三	t12	A017n_PN1f_00002-19	49	捨て	e39	contains
A017n_PN1f_00002-19	43	二	t13	A017n_PN1f_00002-19	24	来	e38	contains
A017n_PN1f_00002-19	43	二	t13	A017n_PN1f_00002-19	49	捨て	e39	contains
A017n_PN1f_00002-20	6	二十	t14	A017n_PN1f_00002-20	21	自首	e40	contains
A017n_PN1f_00002-20	6	二十	t14	A017n_PN1f_00002-20	24	き	e41	contains
A017n_PN1f_00002-22	5	三	t15	A017n_PN1f_00002-22	12	取れ	e52	overlaps
A017n_PN1f_00002-22	5	三	t15	A017n_PN1f_00002-22	14	なっ	e53	overlaps
A017n_PN1f_00002-22	5	三	t15	A017n_PN1f_00002-22	36	出さ	e54	before
A017n_PN1f_00002-22	18	同月	t16	A017n_PN1f_00002-22	12	取れ	e52	during
A017n_PN1f_00002-22	18	同月	t16	A017n_PN1f_00002-22	36	出さ	e54	contains
A017n_PN1f_00002-23	9	一	t17	A017n_PN1f_00002-23	25	離婚	e55	before
A017n_PN1f_00002-23	14	平成	t18	A017n_PN1f_00002-23	25	離婚	e55	before
A017n_PN1f_00002-23	21	今年	t19	A017n_PN1f_00002-23	25	離婚	e55	contains
A017n_PN1f_00002-25	2	二十	t20	A017n_PN1f_00002-25	34	置い	e56	overlapped-by
A017n_PN1f_00002-25	2	二十	t20	A017n_PN1f_00002-25	51	焼い	e57	contains
A017n_PN1f_00002-25	27	七	t21	A017n_PN1f_00002-25	34	置い	e56	contains
A017n_PN1f_00002-25	27	七	t21	A017n_PN1f_00002-25	51	焼い	e57	contains
A017n_PN1f_00002-26	3	約	t22	A017n_PN1f_00002-26	37	積ん	e58	overlapped-by
A017n_PN1f_00002-26	30	七	t23	A017n_PN1f_00002-26	37	積ん	e58	contains
A017n_PN1f_00002-28	33	七	t25	A017n_PN1f_00002-28	16	隣接	e61	during
