time_sent_id	time_index	time_word	time_id	event_sent_id	event_index	event_word	event_id	reltype
A024n_PN3a_00002-4	1	１	t2	A024n_PN3a_00002-4	15	なっ	e1	after
A024n_PN3a_00002-4	1	１	t2	A024n_PN3a_00002-4	22	発表	e2	after
A024n_PN3a_00002-4	1	１	t2	A024n_PN3a_00002-4	59	なっ	e3	after
A024n_PN3a_00002-4	1	１	t2	A024n_PN3a_00002-4	64	挙げ	e4	after
A024n_PN3a_00002-4	17	０	t3	A024n_PN3a_00002-4	15	なっ	e1	contains
A024n_PN3a_00002-4	17	０	t3	A024n_PN3a_00002-4	22	発表	e2	before
A024n_PN3a_00002-4	17	０	t3	A024n_PN3a_00002-4	59	なっ	e3	before
A024n_PN3a_00002-4	17	０	t3	A024n_PN3a_00002-4	64	挙げ	e4	before
A024n_PN3a_00002-4	53	前年	t4	A024n_PN3a_00002-4	15	なっ	e1	before
A024n_PN3a_00002-4	53	前年	t4	A024n_PN3a_00002-4	22	発表	e2	before
A024n_PN3a_00002-4	53	前年	t4	A024n_PN3a_00002-4	59	なっ	e3	before
A024n_PN3a_00002-4	53	前年	t4	A024n_PN3a_00002-4	64	挙げ	e4	before
A024n_PN3a_00002-9	1	１	t7	A024n_PN3a_00002-9	22	受け	e13	after
A024n_PN3a_00002-9	1	１	t7	A024n_PN3a_00002-9	39	襲い	e14	after
A024n_PN3a_00002-9	1	１	t7	A024n_PN3a_00002-9	43	始め	e15	after
A024n_PN3a_00002-9	7	１	t8	A024n_PN3a_00002-9	22	受け	e13	after
A024n_PN3a_00002-9	7	１	t8	A024n_PN3a_00002-9	39	襲い	e14	after
A024n_PN3a_00002-9	7	１	t8	A024n_PN3a_00002-9	43	始め	e15	after
A024n_PN3a_00002-11	1	１	t11	A024n_PN3a_00002-11	21	始まっ	e26	after
A024n_PN3a_00002-11	1	１	t11	A024n_PN3a_00002-11	35	続け	e27	during
A024n_PN3a_00002-11	1	１	t11	A024n_PN3a_00002-11	58	訴え	e28	after
A024n_PN3a_00002-11	23	３	t12	A024n_PN3a_00002-11	21	始まっ	e26	contains
A024n_PN3a_00002-11	23	３	t12	A024n_PN3a_00002-11	35	続け	e27	overlaps
A024n_PN3a_00002-11	23	３	t12	A024n_PN3a_00002-11	58	訴え	e28	before
A024n_PN3a_00002-11	29	毎日	t13	A024n_PN3a_00002-11	21	始まっ	e26	contains
A024n_PN3a_00002-11	29	毎日	t13	A024n_PN3a_00002-11	35	続け	e27	equal
A024n_PN3a_00002-11	29	毎日	t13	A024n_PN3a_00002-11	58	訴え	e28	contains
A024n_PN3a_00002-15	1	２	t16	A024n_PN3a_00002-15	20	収容	e39	after
A024n_PN3a_00002-15	1	２	t16	A024n_PN3a_00002-15	23	し	e40	after
A024n_PN3a_00002-15	1	２	t16	A024n_PN3a_00002-15	40	被弾	e41	after
