time_sent_id	time_index	time_word	time_id	event_sent_id	event_index	event_word	event_id	reltype
A040n_PN3b_00003-4	6	９	t1	A040n_PN3b_00003-4	40	発表	e2	contains
A040n_PN3b_00003-4	14	７	t2	A040n_PN3b_00003-4	40	発表	e2	after
A040n_PN3b_00003-4	19	２	t3	A040n_PN3b_00003-4	40	発表	e2	after
A040n_PN3b_00003-5	19	０	t4	A040n_PN3b_00003-5	26	続く	e3	before
A040n_PN3b_00003-5	19	０	t4	A040n_PN3b_00003-5	30	狙う	e4	before
A040n_PN3b_00003-9	10	今月	t5	A040n_PN3b_00003-9	33	発表	e8	before
A040n_PN3b_00003-9	14	２	t6	A040n_PN3b_00003-9	33	発表	e8	before
A040n_PN3b_00003-9	30	今月	t7	A040n_PN3b_00003-9	33	発表	e8	contains
A040n_PN3b_00003-19	11	８	t9	A040n_PN3b_00003-19	16	なっ	e15	after
A040n_PN3b_00003-19	11	８	t9	A040n_PN3b_00003-19	24	就任	e16	before
A040n_PN3b_00003-19	11	８	t9	A040n_PN3b_00003-19	33	し	e19	contains
A040n_PN3b_00003-25	15	１	t10	A040n_PN3b_00003-25	24	始まる	e24	contains
A040n_PN3b_00003-27	14	８	t11	A040n_PN3b_00003-27	10	狙う	e29	before
A040n_PN3b_00003-27	14	８	t11	A040n_PN3b_00003-27	30	かけ	e30	contains
A040n_PN3b_00003-27	14	８	t11	A040n_PN3b_00003-27	43	確かめ	e33	contains
A040n_PN3b_00003-28	5	前日	t12	A040n_PN3b_00003-28	12	なっ	e35	before
A040n_PN3b_00003-38	4	３	t14	A040n_PN3b_00003-38	23	挟ん	e61	before
A040n_PN3b_00003-38	4	３	t14	A040n_PN3b_00003-38	28	骨折	e62	before
A040n_PN3b_00003-38	4	３	t14	A040n_PN3b_00003-38	55	欠場	e63	before
A040n_PN3b_00003-38	4	３	t14	A040n_PN3b_00003-38	61	分かっ	e64	before
A040n_PN3b_00003-38	13	６	t15	A040n_PN3b_00003-38	23	挟ん	e61	contains
A040n_PN3b_00003-38	13	６	t15	A040n_PN3b_00003-38	28	骨折	e62	contains
A040n_PN3b_00003-38	13	６	t15	A040n_PN3b_00003-38	55	欠場	e63	before
A040n_PN3b_00003-38	13	６	t15	A040n_PN3b_00003-38	61	分かっ	e64	before
A040n_PN3b_00003-38	41	１	t16	A040n_PN3b_00003-38	23	挟ん	e61	after
A040n_PN3b_00003-38	41	１	t16	A040n_PN3b_00003-38	28	骨折	e62	after
A040n_PN3b_00003-38	41	１	t16	A040n_PN3b_00003-38	61	分かっ	e64	after
A040n_PN3b_00003-38	44	１	t17	A040n_PN3b_00003-38	23	挟ん	e61	after
A040n_PN3b_00003-38	44	１	t17	A040n_PN3b_00003-38	28	骨折	e62	after
A040n_PN3b_00003-38	44	１	t17	A040n_PN3b_00003-38	55	欠場	e63	after
A040n_PN3b_00003-38	44	１	t17	A040n_PN3b_00003-38	61	分かっ	e64	after
A040n_PN3b_00003-38	59	９	t18	A040n_PN3b_00003-38	23	挟ん	e61	after
A040n_PN3b_00003-38	59	９	t18	A040n_PN3b_00003-38	28	骨折	e62	after
A040n_PN3b_00003-38	59	９	t18	A040n_PN3b_00003-38	55	欠場	e63	before
A040n_PN3b_00003-38	59	９	t18	A040n_PN3b_00003-38	61	分かっ	e64	contains
A040n_PN3b_00003-39	1	約	t19	A040n_PN3b_00003-39	7	要する	e65	equal
