event1_sent_id	event1_index	event1_word	event1_id
A052n_PN2e_00004-3	5	なくし	e1
A052n_PN2e_00004-5	21	入っ	e2
A052n_PN2e_00004-7	11	去っ	e3
A052n_PN2e_00004-7	27	絶大	e4
A052n_PN2e_00004-7	32	握り	e5
A052n_PN2e_00004-7	38	右傾	e6
A052n_PN2e_00004-8	17	表明	e7
A052n_PN2e_00004-8	23	正式	e8
A052n_PN2e_00004-9	9	厚い	e9
A052n_PN2e_00004-9	12	獲得	e10
A052n_PN2e_00004-9	27	関与	e11
A052n_PN2e_00004-9	35	担っ	e12
A052n_PN2e_00004-10	9	持っ	e13
A052n_PN2e_00004-10	14	呼ば	e14
A052n_PN2e_00004-11	5	拮抗	e15
A052n_PN2e_00004-12	14	雇わ	e16
A052n_PN2e_00004-12	23	始まっ	e17
A052n_PN2e_00004-13	8	出馬	e18
A052n_PN2e_00004-13	14	雇わ	e19
A052n_PN2e_00004-13	28	三	e20
A052n_PN2e_00004-13	34	揺るぎない	e21
A052n_PN2e_00004-13	37	得	e22
A052n_PN2e_00004-14	4	保守	e23
A052n_PN2e_00004-14	16	近い	e24
A052n_PN2e_00004-14	32	み	e25
A052n_PN2e_00004-15	12	主張	e26
A052n_PN2e_00004-15	17	過度	e27
A052n_PN2e_00004-15	22	防ぐ	e28
A052n_PN2e_00004-16	7	決まる	e29
A052n_PN2e_00004-16	21	対抗	e30
A052n_PN2e_00004-16	25	必要	e31
A052n_PN2e_00004-16	29	述べ	e32
A052n_PN2e_00004-16	38	示し	e33
A052n_PN2e_00004-17	8	埋める	e34
A052n_PN2e_00004-17	11	見当たら	e35
A052n_PN2e_00004-17	29	高まる	e36
A052n_PN2e_00004-17	32	確実	e37
A052n_PN2e_00004-19	11	与える	e38
A052n_PN2e_00004-19	20	重要	e39
A052n_PN2e_00004-19	27	意見	e40
A052n_PN2e_00004-20	23	反する	e41
A052n_PN2e_00004-20	41	促し	e42
A052n_PN2e_00004-20	44	さ	e43
A052n_PN2e_00004-21	19	集め	e44
A052n_PN2e_00004-21	21	与党	e45
A052n_PN2e_00004-21	27	し	e46
A052n_PN2e_00004-21	37	掲げ	e47
A052n_PN2e_00004-21	39	戦う	e48
A052n_PN2e_00004-21	46	飛ばし	e49
A052n_PN2e_00004-21	51	発覚	e50
A052n_PN2e_00004-22	11	利用	e51
A052n_PN2e_00004-22	15	ある	e52
A052n_PN2e_00004-22	22	強まっ	e53
A052n_PN2e_00004-25	25	要求	e54
A052n_PN2e_00004-25	35	応じる	e55
A052n_PN2e_00004-25	38	ない	e56
A052n_PN2e_00004-25	41	明らか	e57
A052n_PN2e_00004-25	43	し	e58
A052n_PN2e_00004-26	11	予定	e59
A052n_PN2e_00004-26	19	出馬	e60
A052n_PN2e_00004-26	32	決め	e61
A052n_PN2e_00004-26	37	述べる	e62
A052n_PN2e_00004-26	39	とどまっ	e63
A052n_PN2e_00004-27	24	予測	e64
A052n_PN2e_00004-27	31	出馬	e65
A052n_PN2e_00004-27	36	確実	e66
A052n_PN2e_00004-28	9	要求	e67
A052n_PN2e_00004-28	13	進展	e68
A052n_PN2e_00004-28	18	し	e69
A052n_PN2e_00004-28	28	示し	e70
A052n_PN2e_00004-29	18	行う	e71
A052n_PN2e_00004-29	21	明らか	e72
A052n_PN2e_00004-29	23	し	e73
A052n_PN2e_00004-34	5	流れる	e74
A052n_PN2e_00004-34	13	架け	e75
A052n_PN2e_00004-34	20	破壊	e76
A052n_PN2e_00004-34	33	始まっ	e77
A052n_PN2e_00004-35	20	世界	e78
A052n_PN2e_00004-35	23	知ら	e79
A052n_PN2e_00004-35	26	美しい	e80
A052n_PN2e_00004-35	35	現す	e81
A052n_PN2e_00004-36	13	共存	e82
A052n_PN2e_00004-36	19	なり	e83
A052n_PN2e_00004-36	34	指定	e84
A052n_PN2e_00004-37	18	破壊	e85
A052n_PN2e_00004-37	39	住む	e86
A052n_PN2e_00004-37	40	完全	e87
A052n_PN2e_00004-38	11	進め	e88
A052n_PN2e_00004-38	15	使わ	e89
A052n_PN2e_00004-38	22	含め	e90
A052n_PN2e_00004-38	45	行わ	e91
A052n_PN2e_00004-39	5	参加	e92
A052n_PN2e_00004-39	29	象徴	e93
A052n_PN2e_00004-39	35	果たす	e94
A052n_PN2e_00004-39	42	述べ	e95
