event1_id	event2_id	reltype
e1	e4	identity
e4	e5	equal
e5	e8	during
e8	e10	contains
e12	e15	before
e15	e19	equal
e19	e21	before
e21	e26	after
e26	e28	after
e29	e30	before
e32	e34	equal
e34	e39	before
e39	e44	during
e44	e45	contains
e45	e50	after
e52	e53	contains
e53	e56	after
e58	e62	before
e62	e64	before
e72	e74	before
e76	e78	before
e79	e81	after
e81	e82	during
e82	e86	contains
e86	e88	equal
e88	e93	contains
e98	e99	before
e99	e103	before
e103	e108	after
e112	e114	before
e114	e115	before
e115	e120	before
e120	e121	vague
