event1_id	event2_id	reltype
e2	e3	after
e3	e6	before
e6	e9	vague
e9	e10	after
e12	e14	before
e14	e15	after
e15	e17	equal
e21	e23	before
e28	e33	during
e33	e34	contains
e34	e35	before
e35	e38	vague
e38	e40	after
e40	e43	during
e43	e46	contains
e51	e63	before
e64	e66	before
e66	e69	during
e76	e77	vague
e77	e80	before
e80	e85	after
e89	e90	during
e90	e96	contains
e96	e99	after
e99	e100	before
e100	e101	before
e101	e106	after
e106	e109	before
e109	e110	before
e110	e111	after
e111	e114	before
e114	e116	before
e116	e120	before
e121	e124	after
e124	e129	equal
e129	e132	equal
e139	e141	before
e141	e150	after
e150	e152	before
e152	e157	after
e158	e161	after
e161	e162	before
e162	e163	after
e163	e168	before
