event1_id	event2_id	reltype
e1	e2	after
e2	e6	after
e6	e19	before
e21	e22	after
e22	e25	before
e25	e29	before
e29	e30	after
e30	e31	before
e34	e36	during
e36	e40	before
e40	e45	after
e45	e48	after
e58	e61	after
e65	e70	after
e70	e71	contains
e71	e72	equal
e72	e73	before
e83	e87	before
e87	e89	during
e100	e103	before
e103	e104	after
e104	e107	before
e107	e109	before
e109	e112	after
e112	e122	before
e125	e127	before
e127	e129	before
e133	e135	after
e135	e136	before
e137	e139	equal
e142	e144	before
e144	e147	before
e147	e149	before
e149	e153	after
