event1_id	event2_id	reltype
e1	e3	contains
e3	e4	vague
e7	e8	vague
e13	e14	after
e14	e16	before
e21	e24	after
e24	e31	before
e31	e33	during
e33	e37	contains
e37	e38	after
e38	e40	before
e52	e55	after
e55	e57	before
e57	e60	before
e63	e64	after
e73	e80	before
e80	e84	after
e84	e85	during
e85	e87	during
e87	e88	before
e90	e91	equal
e94	e97	contains
e97	e100	before
e100	e104	before
e106	e109	before
e109	e114	before
e114	e115	after
e115	e123	contains
e123	e125	after
e125	e127	before
e127	e129	before
e129	e132	after
e132	e135	before
e139	e141	before
e141	e143	identity
e143	e144	before
e148	e150	before
e151	e152	equal
e152	e153	after
e153	e155	before
e155	e157	equal
e157	e158	before
e159	e161	contains
e161	e162	after
e166	e167	before
e167	e168	equal
e168	e169	before
