event1_id	event2_id	reltype
e4	e5	during
e12	e15	before
e19	e24	before
e24	e25	before
e25	e28	before
e28	e31	during
e34	e37	equal
e37	e38	contains
e38	e42	before
e44	e45	equal
e45	e49	before
e49	e50	after
e55	e58	during
e59	e62	contains
e62	e63	before
e63	e65	after
e65	e67	before
e67	e70	during
e70	e73	equal
e76	e78	before
e78	e81	before
e81	e83	before
e83	e86	before
e86	e89	contains
e89	e91	before
e91	e93	before
e93	e94	before
e94	e95	before
e95	e96	after
e96	e99	before
e99	e100	before
e102	e103	after
e103	e106	before
e107	e116	contains
e116	e120	before
e120	e123	after
e123	e126	before
e126	e130	after
