event1_id	event2_id	reltype
e2	e3	before
e3	e5	after
e11	e12	before
e12	e15	after
e18	e23	before
e26	e30	during
e33	e34	before
e34	e39	during
e39	e42	contains
e42	e46	contains
e46	e47	equal
e47	e48	equal
e48	e50	equal
e50	e54	before
e54	e60	after
e60	e66	after
e66	e69	equal
e69	e72	before
e74	e76	contains
e76	e79	before
e79	e80	after
e80	e82	after
e84	e93	contains
e103	e105	before
e105	e108	before
e110	e119	contains
e119	e121	before
e125	e129	after
e129	e132	contains
e132	e133	after
e133	e136	contains
e138	e140	before
e140	e144	before
e146	e150	contains
e150	e153	after
e159	e162	contains
e162	e166	before
e169	e172	before
e183	e185	during
e185	e187	identity
e187	e189	identity
e189	e190	before
e190	e192	during
e192	e195	contains
e195	e197	before
e197	e198	vague
e198	e199	after
e199	e202	before
e202	e206	before
e206	e208	after
e208	e212	after
e213	e215	before
e215	e216	vague
e216	e217	vague
e219	e220	after
e220	e222	before
e222	e224	after
e224	e234	before
e234	e235	during
e235	e240	during
