event1_id	event2_id	reltype
e2	e5	before
e5	e7	after
e7	e9	equal
e9	e10	before
e10	e11	after
e11	e15	vague
e15	e17	after
e17	e19	before
e19	e21	vague
e24	e25	contains
e25	e30	during
e30	e33	before
e36	e37	during
e45	e47	contains
e49	e50	met-by
e50	e54	contains
e54	e55	after
e59	e60	before
e60	e62	after
e62	e64	equal
e64	e65	contains
e65	e68	before
e68	e74	after
e74	e77	during
e77	e80	contains
e80	e83	after
e87	e88	after
e88	e90	meets
e90	e92	contains
e102	e104	contains
e104	e105	equal
e109	e111	vague
e111	e113	before
e119	e123	before
e123	e124	during
e124	e126	during
e126	e127	equal
e127	e129	contains
e133	e134	after
e134	e139	before
e139	e140	equal
