event1_id	event2_id	reltype
e2	e4	after
e4	e5	before
e5	e10	before
e10	e13	after
e13	e20	after
e26	e27	vague
e27	e29	before
e29	e30	during
e30	e31	contains
e33	e38	before
e47	e51	contains
e51	e54	before
e70	e72	contains
e72	e78	vague
e78	e79	after
e90	e98	contains
e98	e103	equal
e103	e105	equal
e105	e108	equal
e115	e118	equal
e118	e125	contains
e129	e131	before
e138	e141	contains
e141	e144	vague
e156	e157	contains
e157	e159	after
e159	e160	vague
e171	e176	contains
e178	e179	after
e179	e183	contains
e185	e188	vague
e192	e194	contains
e194	e196	before
e196	e200	after
e206	e207	after
e207	e212	before
e218	e222	before
e222	e224	after
e224	e225	equal
e225	e235	equal
