event1_id	event2_id	reltype
e3	e5	equal
e5	e14	before
e14	e16	after
e18	e19	before
e22	e24	after
e25	e26	after
e28	e29	after
e29	e32	before
e32	e37	before
e42	e46	contains
e48	e49	before
e49	e54	before
e54	e59	vague
e59	e62	during
e65	e68	before
e72	e74	before
e74	e76	after
e76	e77	after
e77	e80	before
e80	e83	before
e83	e88	after
e88	e90	vague
e90	e97	vague
e98	e100	before
e100	e104	after
e104	e108	before
e108	e109	vague
e109	e111	vague
e111	e112	contains
e112	e114	contains
e114	e117	before
e117	e121	before
e121	e122	after
e122	e126	contains
e130	e133	before
