event1_id	event2_id	reltype
e2	e3	before
e3	e5	after
e5	e7	before
e11	e13	after
e20	e23	before
e23	e27	equal
e27	e28	after
e28	e29	before
e29	e31	contains
e33	e34	before
e34	e37	before
e37	e42	vague
e42	e45	before
e45	e48	vague
e48	e49	contains
e49	e52	vague
e55	e56	before
e56	e59	after
e61	e65	vague
e66	e68	during
e68	e71	contains
e74	e76	during
e76	e80	equal
e80	e81	contains
e81	e87	before
e92	e94	before
e94	e99	before
e99	e100	after
e102	e105	vague
e105	e109	after
e110	e116	equal
e116	e119	contains
e120	e122	vague
e122	e123	equal
e123	e125	before
