event1_id	event2_id	reltype
e4	e7	contains
e12	e14	after
e14	e16	vague
e16	e18	vague
e21	e27	vague
e29	e32	during
e32	e33	contains
e33	e34	during
e38	e42	contains
e42	e45	during
e45	e48	contains
e48	e54	before
e55	e56	vague
e56	e60	after
e60	e61	before
e71	e72	vague
e72	e74	vague
e74	e75	vague
e75	e77	vague
e77	e80	during
e80	e81	contains
e83	e87	after
e87	e88	before
e88	e92	contains
e92	e93	before
e93	e96	after
e96	e101	before
e101	e104	during
e104	e109	contains
e112	e114	before
e114	e117	before
e117	e118	before
e118	e120	before
e120	e126	before
e126	e132	before
e132	e136	before
e136	e139	before
