event2_sent_id	event2_index	event2_word	event2_id
A054n_PN3b_00004-2	2	過ごす	e1
A054n_PN3b_00004-4	2	帰省	e2
A054n_PN3b_00004-4	9	迎える	e3
A054n_PN3b_00004-4	12	いる	e4
A054n_PN3b_00004-5	2	寂しい	e5
A054n_PN3b_00004-5	7	思う	e6
A054n_PN3b_00004-5	12	得	e7
A054n_PN3b_00004-5	17	思う	e8
A054n_PN3b_00004-6	1	前向き	e9
A054n_PN3b_00004-6	10	楽しめ	e10
A054n_PN3b_00004-6	16	向い	e11
A054n_PN3b_00004-7	2	楽しい	e12
A054n_PN3b_00004-7	7	提案	e13
A054n_PN3b_00004-9	1	改まっ	e14
A054n_PN3b_00004-9	4	大切	e15
A054n_PN3b_00004-9	6	し	e16
A054n_PN3b_00004-12	12	ある	e17
A054n_PN3b_00004-12	31	やり	e18
A054n_PN3b_00004-12	36	実行	e19
A054n_PN3b_00004-12	41	言う	e20
A054n_PN3b_00004-14	2	無理	e21
A054n_PN3b_00004-14	5	頑張る	e22
A054n_PN3b_00004-14	8	ない	e23
A054n_PN3b_00004-14	20	洗濯	e24
A054n_PN3b_00004-14	24	好き	e25
A054n_PN3b_00004-15	11	取れ	e26
A054n_PN3b_00004-15	15	明るく	e27
A054n_PN3b_00004-15	16	なり	e28
A054n_PN3b_00004-15	18	模様	e29
A054n_PN3b_00004-15	26	得	e30
A054n_PN3b_00004-16	6	広げる	e31
A054n_PN3b_00004-16	9	よい	e32
A054n_PN3b_00004-17	4	決まっ	e33
A054n_PN3b_00004-17	8	料理	e34
A054n_PN3b_00004-17	23	使っ	e35
A054n_PN3b_00004-17	27	いろいろ	e36
A054n_PN3b_00004-17	37	挑戦	e37
A054n_PN3b_00004-17	42	話す	e38
A054n_PN3b_00004-18	8	置く	e39
A054n_PN3b_00004-18	20	言える	e40
A054n_PN3b_00004-19	4	い	e41
A054n_PN3b_00004-19	8	でき	e42
A054n_PN3b_00004-20	5	食べ	e43
A054n_PN3b_00004-20	12	ひそか	e44
A054n_PN3b_00004-20	16	頑張り	e45
A054n_PN3b_00004-20	20	すっきり	e46
A054n_PN3b_00004-20	25	再会	e47
A054n_PN3b_00004-20	31	いい	e48
A054n_PN3b_00004-21	6	せ	e49
A054n_PN3b_00004-21	11	没頭	e50
A054n_PN3b_00004-21	19	好き	e51
A054n_PN3b_00004-21	29	浸っ	e52
A054n_PN3b_00004-22	4	忘れ	e53
A054n_PN3b_00004-22	15	でき	e54
A054n_PN3b_00004-23	9	改まっ	e55
A054n_PN3b_00004-23	13	大切	e56
A054n_PN3b_00004-23	15	し	e57
A054n_PN3b_00004-23	19	いう	e58
A054n_PN3b_00004-24	6	買っ	e59
A054n_PN3b_00004-24	18	通そう	e60
A054n_PN3b_00004-24	22	取っ	e61
A054n_PN3b_00004-25	8	意識	e62
A054n_PN3b_00004-25	15	つけ	e63
A054n_PN3b_00004-25	17	過ごし	e64
A054n_PN3b_00004-26	5	豪華	e65
A054n_PN3b_00004-26	7	楽しむ	e66
A054n_PN3b_00004-28	2	飾っ	e67
A054n_PN3b_00004-28	5	食べ	e68
A054n_PN3b_00004-30	8	過ぎる	e69
A054n_PN3b_00004-31	13	楽しま	e70
A054n_PN3b_00004-32	6	もつ	e71
A054n_PN3b_00004-32	21	準備	e72
A054n_PN3b_00004-32	27	し	e73
A054n_PN3b_00004-33	3	味わう	e74
A054n_PN3b_00004-33	11	飾っ	e75
A054n_PN3b_00004-33	16	ともし	e76
A054n_PN3b_00004-33	18	し	e77
A054n_PN3b_00004-33	24	調える	e78
A054n_PN3b_00004-34	9	迫っ	e79
A054n_PN3b_00004-34	18	出かけ	e80
A054n_PN3b_00004-34	27	楽しん	e81
A054n_PN3b_00004-34	40	注文	e82
A054n_PN3b_00004-36	12	用意	e83
A054n_PN3b_00004-36	15	楽しみ	e84
A054n_PN3b_00004-36	20	笑う	e85
A054n_PN3b_00004-37	9	試し	e86
A054n_PN3b_00004-37	23	小ぶり	e87
A054n_PN3b_00004-37	29	お	e88
A054n_PN3b_00004-38	23	販売	e89
A054n_PN3b_00004-38	32	高まる	e90
A054n_PN3b_00004-39	13	ぜいたく	e91
A054n_PN3b_00004-39	26	多い	e92
A054n_PN3b_00004-40	2	手軽	e93
A054n_PN3b_00004-40	8	掛け	e94
A054n_PN3b_00004-40	13	手軽	e95
A054n_PN3b_00004-40	19	演出	e96
A054n_PN3b_00004-41	21	定着	e97
A054n_PN3b_00004-41	27	いう	e98
A054n_PN3b_00004-42	3	ちなん	e99
A054n_PN3b_00004-42	16	楽しく	e100
A054n_PN3b_00004-42	17	し	e101
A054n_PN3b_00004-43	14	盛り上げる	e102
A054n_PN3b_00004-47	6	小さめ	e103
A054n_PN3b_00004-47	10	軟らかい	e104
A054n_PN3b_00004-47	14	はさん	e105
A054n_PN3b_00004-47	16	あげ	e106
A054n_PN3b_00004-48	6	よい	e107
A054n_PN3b_00004-49	8	なり	e108
