event_sent_id	event_index	event_word	event_id
A022n_PN2f_00002-4	1	緩ん	e1
A022n_PN2f_00002-4	4	引き締めろ	e2
A022n_PN2f_00002-5	13	続ける	e3
A022n_PN2f_00002-5	24	なる	e4
A022n_PN2f_00002-5	42	臨む	e5
A022n_PN2f_00002-6	6	神戸	e6
A022n_PN2f_00002-6	13	練習	e7
A022n_PN2f_00002-7	14	同行	e8
A022n_PN2f_00002-7	24	加わっ	e9
A022n_PN2f_00002-8	25	欠場	e10
A022n_PN2f_00002-9	9	練習	e11
A022n_PN2f_00002-10	16	下し	e12
A022n_PN2f_00002-10	31	し	e13
A022n_PN2f_00002-10	36	示し	e14
A022n_PN2f_00002-10	54	警戒	e15
A022n_PN2f_00002-11	20	敗れ	e16
A022n_PN2f_00002-11	23	逃し	e17
A022n_PN2f_00002-12	4	侮れ	e18
A022n_PN2f_00002-12	9	いえる	e19
A022n_PN2f_00002-13	6	控え	e20
A022n_PN2f_00002-13	10	臨む	e21
A022n_PN2f_00002-14	3	順調	e22
A022n_PN2f_00002-15	16	順調	e23
A022n_PN2f_00002-15	21	見せ	e24
A022n_PN2f_00002-16	5	回す	e25
A022n_PN2f_00002-16	9	そんな	e26
A022n_PN2f_00002-16	11	ハード	e27
A022n_PN2f_00002-16	19	単調	e28
A022n_PN2f_00002-16	26	面白く	e29
A022n_PN2f_00002-16	27	なっ	e30
A022n_PN2f_00002-16	37	けれる	e31
A022n_PN2f_00002-16	40	回復	e32
A022n_PN2f_00002-16	46	明かし	e33
A022n_PN2f_00002-17	3	できる	e34
A022n_PN2f_00002-17	5	早い	e35
A022n_PN2f_00002-17	10	出	e36
A022n_PN2f_00002-18	10	出	e37
A022n_PN2f_00002-19	5	立っ	e38
A022n_PN2f_00002-19	13	明るかっ	e39
A022n_PN2f_00002-21	15	欠場	e40
A022n_PN2f_00002-23	12	できる	e41
A022n_PN2f_00002-23	14	思っ	e42
A022n_PN2f_00002-23	25	参加	e43
A022n_PN2f_00002-23	38	出	e44
A022n_PN2f_00002-24	13	迫っ	e45
A022n_PN2f_00002-25	5	やら	e46
A022n_PN2f_00002-25	12	引き締め	e47
A022n_PN2f_00002-28	15	記者	e48
A022n_PN2f_00002-28	23	発表	e49
A022n_PN2f_00002-28	49	明かさ	e50
A022n_PN2f_00002-28	52	外れ	e51
A022n_PN2f_00002-28	54	がっかり	e52
A022n_PN2f_00002-28	58	いる	e53
A022n_PN2f_00002-28	69	承知	e54
A022n_PN2f_00002-28	83	強調	e55
A022n_PN2f_00002-30	10	見	e56
A022n_PN2f_00002-30	16	新た	e57
A022n_PN2f_00002-30	24	選出	e58
A022n_PN2f_00002-31	17	残す	e59
A022n_PN2f_00002-31	28	外す	e60
A022n_PN2f_00002-31	32	難しい	e61
A022n_PN2f_00002-31	51	ある	e62
A022n_PN2f_00002-31	55	なる	e63
A022n_PN2f_00002-31	65	決まっ	e64
A022n_PN2f_00002-31	74	明かし	e65
A022n_PN2f_00002-32	5	向け	e66
A022n_PN2f_00002-32	13	痛め	e67
A022n_PN2f_00002-32	25	出場	e68
A022n_PN2f_00002-33	4	完勝	e69
A022n_PN2f_00002-33	11	得	e70
