event_sent_id	event_index	event_word	event_id
A026n_PN3d_00002-5	5	先立っ	e1
A026n_PN3d_00002-5	7	公表	e2
A026n_PN3d_00002-5	23	付い	e3
A026n_PN3d_00002-5	50	あっ	e4
A026n_PN3d_00002-5	54	突き止め	e5
A026n_PN3d_00002-5	58	間違い	e6
A026n_PN3d_00002-5	60	確信	e7
A026n_PN3d_00002-5	68	表明	e8
A026n_PN3d_00002-6	13	出演	e9
A026n_PN3d_00002-6	46	開示	e10
A026n_PN3d_00002-6	59	精査	e11
A026n_PN3d_00002-6	73	明かし	e12
A026n_PN3d_00002-6	81	見つかる	e13
A026n_PN3d_00002-6	84	確信	e14
A026n_PN3d_00002-6	90	言明	e15
A026n_PN3d_00002-7	30	熟達	e16
A026n_PN3d_00002-7	49	ない	e17
A026n_PN3d_00002-7	51	考え	e18
A026n_PN3d_00002-7	58	見つける	e19
A026n_PN3d_00002-7	69	述べ	e20
A026n_PN3d_00002-8	23	濃厚	e21
A026n_PN3d_00002-8	30	必要	e22
A026n_PN3d_00002-9	15	入手	e23
A026n_PN3d_00002-9	29	続け	e24
A026n_PN3d_00002-9	34	し	e25
A026n_PN3d_00002-9	45	ある	e26
A026n_PN3d_00002-9	48	明らか	e27
A026n_PN3d_00002-9	50	し	e28
A026n_PN3d_00002-10	21	作成	e29
A026n_PN3d_00002-10	42	十分	e30
A026n_PN3d_00002-10	46	ない	e31
A026n_PN3d_00002-10	49	記載	e32
A026n_PN3d_00002-11	14	認め	e33
A026n_PN3d_00002-11	22	抽出	e34
A026n_PN3d_00002-11	25	書い	e35
A026n_PN3d_00002-11	39	確信	e36
A026n_PN3d_00002-11	46	反論	e37
A026n_PN3d_00002-12	22	頻繁	e38
A026n_PN3d_00002-12	40	収集	e39
A026n_PN3d_00002-12	46	報じ	e40
A026n_PN3d_00002-12	59	持た	e41
A026n_PN3d_00002-12	69	感じ	e42
A026n_PN3d_00002-12	73	する	e43
A026n_PN3d_00002-12	80	伝え	e44
A026n_PN3d_00002-13	25	かかわる	e45
A026n_PN3d_00002-13	29	し	e46
A026n_PN3d_00002-13	38	率い	e47
A026n_PN3d_00002-13	46	表明	e48
A026n_PN3d_00002-13	57	不可欠	e49
A026n_PN3d_00002-13	61	し	e50
A026n_PN3d_00002-13	70	訴え	e51
A026n_PN3d_00002-14	33	示す	e52
A026n_PN3d_00002-14	50	得	e53
A026n_PN3d_00002-14	58	驚く	e54
A026n_PN3d_00002-14	65	指摘	e55
A026n_PN3d_00002-15	31	扱わ	e56
A026n_PN3d_00002-15	37	調査	e57
A026n_PN3d_00002-15	45	し	e58
A026n_PN3d_00002-15	49	政治	e59
A026n_PN3d_00002-15	56	非	e60
A026n_PN3d_00002-15	64	批判	e61
A026n_PN3d_00002-16	3	し	e62
A026n_PN3d_00002-16	15	訪米	e63
A026n_PN3d_00002-16	49	崩壊	e64
A026n_PN3d_00002-16	54	重要	e65
A026n_PN3d_00002-16	66	重要	e66
A026n_PN3d_00002-16	70	根本	e67
A026n_PN3d_00002-16	82	示し	e68
A026n_PN3d_00002-17	7	聞く	e69
A026n_PN3d_00002-18	25	応じ	e70
