event_sent_id	event_index	event_word	event_id
A012n_PN4g_00001-4	21	目指し	e1
A012n_PN4g_00001-4	38	締結	e2
A012n_PN4g_00001-5	20	提出	e3
A012n_PN4g_00001-6	12	採択	e4
A012n_PN4g_00001-7	6	続い	e5
A012n_PN4g_00001-8	18	求める	e6
A012n_PN4g_00001-8	32	盛り込ん	e7
A012n_PN4g_00001-9	5	つくる	e8
A012n_PN4g_00001-9	25	策定	e9
A012n_PN4g_00001-9	28	代表	e10
A012n_PN4g_00001-9	34	緊急	e11
A012n_PN4g_00001-9	36	保護	e12
A012n_PN4g_00001-9	40	ある	e13
A012n_PN4g_00001-9	45	指定	e14
A012n_PN4g_00001-10	9	批准	e15
A012n_PN4g_00001-10	17	発効	e16
A012n_PN4g_00001-11	6	先駆け	e17
A012n_PN4g_00001-11	14	取り組ん	e18
A012n_PN4g_00001-12	6	向け	e19
A012n_PN4g_00001-12	8	主導	e20
A012n_PN4g_00001-12	13	果たし	e21
A012n_PN4g_00001-15	23	支持	e22
A012n_PN4g_00001-15	28	実現	e23
A012n_PN4g_00001-15	35	署名	e24
A012n_PN4g_00001-16	5	発表	e25
A012n_PN4g_00001-16	17	含め	e26
A012n_PN4g_00001-16	24	参加	e27
A012n_PN4g_00001-16	28	全面	e28
A012n_PN4g_00001-16	31	支持	e29
A012n_PN4g_00001-17	13	し	e30
A012n_PN4g_00001-17	23	ない	e31
A012n_PN4g_00001-17	25	表明	e32
A012n_PN4g_00001-18	12	開い	e33
A012n_PN4g_00001-18	27	し	e34
A012n_PN4g_00001-18	31	決め	e35
A012n_PN4g_00001-18	36	認め	e36
A012n_PN4g_00001-19	14	支持	e37
A012n_PN4g_00001-19	18	表明	e38
A012n_PN4g_00001-19	31	強く	e39
A012n_PN4g_00001-19	32	反対	e40
A012n_PN4g_00001-22	25	実現	e41
A012n_PN4g_00001-22	32	署名	e42
A012n_PN4g_00001-22	43	発表	e43
A012n_PN4g_00001-23	15	表明	e44
A012n_PN4g_00001-23	38	得	e45
A012n_PN4g_00001-23	42	意味	e46
A012n_PN4g_00001-23	49	挙げ	e47
A012n_PN4g_00001-23	54	全面	e48
A012n_PN4g_00001-23	59	得	e49
A012n_PN4g_00001-23	62	努力	e50
A012n_PN4g_00001-23	66	述べ	e51
A012n_PN4g_00001-27	7	絡む	e52
A012n_PN4g_00001-27	29	証拠	e53
A012n_PN4g_00001-27	37	する	e54
A012n_PN4g_00001-27	40	決め	e55
A012n_PN4g_00001-28	1	起訴	e56
A012n_PN4g_00001-28	7	迫ら	e57
A012n_PN4g_00001-28	11	予想	e58
A012n_PN4g_00001-28	27	つき	e59
A012n_PN4g_00001-29	16	かけ	e60
A012n_PN4g_00001-29	25	図る	e61
A012n_PN4g_00001-29	31	通じ	e62
A012n_PN4g_00001-29	44	約束	e63
A012n_PN4g_00001-29	50	持た	e64
A012n_PN4g_00001-33	24	行っ	e65
A012n_PN4g_00001-34	13	予定	e66
A012n_PN4g_00001-34	19	向け	e67
A012n_PN4g_00001-35	30	続き	e68
A012n_PN4g_00001-35	34	再	e69
A012n_PN4g_00001-35	41	指摘	e70
A012n_PN4g_00001-35	58	し	e71
A012n_PN4g_00001-35	70	図り	e72
A012n_PN4g_00001-36	10	開か	e73
A012n_PN4g_00001-36	18	なる	e74
