event_sent_id	event_index	event_word	event_id
A053n_PN2g_00004-2	4	おおらか	e1
A053n_PN2g_00004-3	12	論議	e2
A053n_PN2g_00004-3	32	単位	e3
A053n_PN2g_00004-3	42	する	e4
A053n_PN2g_00004-3	48	する	e5
A053n_PN2g_00004-3	51	まとめ	e6
A053n_PN2g_00004-4	2	長い	e7
A053n_PN2g_00004-4	8	支配	e8
A053n_PN2g_00004-4	21	変え	e9
A053n_PN2g_00004-4	34	多面	e10
A053n_PN2g_00004-4	37	評価	e11
A053n_PN2g_00004-4	41	必要	e12
A053n_PN2g_00004-5	3	いう	e13
A053n_PN2g_00004-5	8	弱い	e14
A053n_PN2g_00004-5	17	し	e15
A053n_PN2g_00004-5	35	流し	e16
A053n_PN2g_00004-5	42	積極	e17
A053n_PN2g_00004-5	45	評価	e18
A053n_PN2g_00004-5	51	ない	e19
A053n_PN2g_00004-6	5	し	e20
A053n_PN2g_00004-6	19	尊重	e21
A053n_PN2g_00004-6	26	ある	e22
A053n_PN2g_00004-7	6	主体	e23
A053n_PN2g_00004-7	9	多様	e24
A053n_PN2g_00004-7	14	行う	e25
A053n_PN2g_00004-7	21	乏しい	e26
A053n_PN2g_00004-7	23	さ	e27
A053n_PN2g_00004-7	28	豊か	e28
A053n_PN2g_00004-7	33	培う	e29
A053n_PN2g_00004-7	36	つながる	e30
A053n_PN2g_00004-8	22	直結	e31
A053n_PN2g_00004-8	26	なる	e32
A053n_PN2g_00004-8	38	有利	e33
A053n_PN2g_00004-8	48	よく	e34
A053n_PN2g_00004-8	49	する	e35
A053n_PN2g_00004-8	54	なっ	e36
A053n_PN2g_00004-8	61	求め	e37
A053n_PN2g_00004-8	69	損ない	e38
A053n_PN2g_00004-9	10	なっ	e39
A053n_PN2g_00004-9	20	客観	e40
A053n_PN2g_00004-9	23	評価	e41
A053n_PN2g_00004-9	28	難しい	e42
A053n_PN2g_00004-10	3	参加	e43
A053n_PN2g_00004-10	13	記録	e44
A053n_PN2g_00004-10	19	公正	e45
A053n_PN2g_00004-10	23	つながる	e46
A053n_PN2g_00004-11	2	評価	e47
A053n_PN2g_00004-11	20	し	e48
A053n_PN2g_00004-11	22	画一	e49
A053n_PN2g_00004-11	30	避ける	e50
A053n_PN2g_00004-12	11	記録	e51
A053n_PN2g_00004-12	22	作成	e52
A053n_PN2g_00004-12	53	割り引く	e53
A053n_PN2g_00004-12	58	与える	e54
A053n_PN2g_00004-12	60	提案	e55
A053n_PN2g_00004-13	11	認定	e56
A053n_PN2g_00004-13	20	活用	e57
A053n_PN2g_00004-13	24	求め	e58
A053n_PN2g_00004-14	7	悪く	e59
A053n_PN2g_00004-14	8	ない	e60
A053n_PN2g_00004-14	14	さまざま	e61
A053n_PN2g_00004-14	22	ちらつか	e62
A053n_PN2g_00004-14	35	育てる	e63
A053n_PN2g_00004-14	44	見失わ	e64
A053n_PN2g_00004-14	48	強い	e65
A053n_PN2g_00004-15	10	ある	e66
A053n_PN2g_00004-16	19	実施	e67
A053n_PN2g_00004-16	25	高い	e68
A053n_PN2g_00004-16	37	尊重	e69
A053n_PN2g_00004-17	4	強制	e70
A053n_PN2g_00004-17	7	押しつける	e71
A053n_PN2g_00004-17	12	避け	e72
A053n_PN2g_00004-18	2	うまく	e73
A053n_PN2g_00004-18	6	引き出せ	e74
A053n_PN2g_00004-18	12	進ん	e75
