event_sent_id	event_index	event_word	event_id
A031n_PN5b_00002-3	1	集まれ	e1
A031n_PN5b_00002-6	15	歌う	e2
A031n_PN5b_00002-6	20	上げ	e3
A031n_PN5b_00002-6	23	白い	e4
A031n_PN5b_00002-6	26	長い	e5
A031n_PN5b_00002-6	29	広げ	e6
A031n_PN5b_00002-6	33	乗る	e7
A031n_PN5b_00002-8	5	指さし	e8
A031n_PN5b_00002-8	9	弾ま	e9
A031n_PN5b_00002-10	28	コ	e10
A031n_PN5b_00002-10	41	設置	e11
A031n_PN5b_00002-11	5	汗	e12
A031n_PN5b_00002-11	11	掘っ	e13
A031n_PN5b_00002-11	13	設置	e14
A031n_PN5b_00002-11	22	流す	e15
A031n_PN5b_00002-12	11	かすめ	e16
A031n_PN5b_00002-13	4	きれい	e17
A031n_PN5b_00002-14	17	やっ	e18
A031n_PN5b_00002-14	19	くる	e19
A031n_PN5b_00002-14	29	なり	e20
A031n_PN5b_00002-14	33	なっ	e21
A031n_PN5b_00002-16	14	ある	e22
A031n_PN5b_00002-17	10	減っ	e23
A031n_PN5b_00002-18	18	追い詰め	e24
A031n_PN5b_00002-18	26	話す	e25
A031n_PN5b_00002-19	6	営巣	e26
A031n_PN5b_00002-19	15	茂っ	e27
A031n_PN5b_00002-20	7	刈り	e28
A031n_PN5b_00002-20	16	置い	e29
A031n_PN5b_00002-20	22	好む	e30
A031n_PN5b_00002-20	26	嫌わ	e31
A031n_PN5b_00002-21	30	敷き詰め	e32
A031n_PN5b_00002-21	34	生え	e33
A031n_PN5b_00002-21	39	撤去	e34
A031n_PN5b_00002-22	5	張り	e35
A031n_PN5b_00002-22	14	置く	e36
A031n_PN5b_00002-22	17	恒久	e37
A031n_PN5b_00002-22	23	する	e38
A031n_PN5b_00002-22	33	こらす	e39
A031n_PN5b_00002-23	13	確認	e40
A031n_PN5b_00002-24	2	めがけ	e41
A031n_PN5b_00002-24	6	ダイビング	e42
A031n_PN5b_00002-24	16	休ま	e43
A031n_PN5b_00002-25	8	生活	e44
A031n_PN5b_00002-25	12	あれ	e45
A031n_PN5b_00002-25	23	集まり	e46
A031n_PN5b_00002-25	25	たくましく	e47
A031n_PN5b_00002-25	26	生きる	e48
A031n_PN5b_00002-27	10	歩く	e49
A031n_PN5b_00002-27	13	いい	e50
A031n_PN5b_00002-28	6	ある	e51
A031n_PN5b_00002-28	19	見学	e52
A031n_PN5b_00002-32	3	設置	e53
A031n_PN5b_00002-32	24	写す	e54
A031n_PN5b_00002-36	11	作る	e55
A031n_PN5b_00002-36	27	あっ	e56
A031n_PN5b_00002-37	10	取り組む	e57
A031n_PN5b_00002-37	26	合わせ	e58
A031n_PN5b_00002-37	28	企画	e59
A031n_PN5b_00002-37	36	受講	e60
A031n_PN5b_00002-38	36	とどめ	e61
A031n_PN5b_00002-38	45	なっ	e62
A031n_PN5b_00002-39	9	使っ	e63
A031n_PN5b_00002-39	16	挑戦	e64
A031n_PN5b_00002-40	13	作る	e65
A031n_PN5b_00002-40	19	応じ	e66
A031n_PN5b_00002-40	23	提供	e67
