event_sent_id	event_index	event_word	event_id
A001n_PN1c_00001-5	13	留学	e1
A001n_PN1c_00001-8	7	通っ	e2
A001n_PN1c_00001-8	15	活発	e3
A001n_PN1c_00001-8	18	目立つ	e4
A001n_PN1c_00001-8	23	いう	e5
A001n_PN1c_00001-9	5	自由	e6
A001n_PN1c_00001-9	9	あっ	e7
A001n_PN1c_00001-9	14	乗っ	e8
A001n_PN1c_00001-9	18	薄く	e9
A001n_PN1c_00001-9	19	つぶし	e10
A001n_PN1c_00001-9	24	し	e11
A001n_PN1c_00001-10	1	呼び出し	e12
A001n_PN1c_00001-10	3	注意	e13
A001n_PN1c_00001-10	7	い	e14
A001n_PN1c_00001-10	28	違っ	e15
A001n_PN1c_00001-11	3	薄い	e16
A001n_PN1c_00001-11	9	入ら	e17
A001n_PN1c_00001-11	20	危ない	e18
A001n_PN1c_00001-11	24	はずし	e19
A001n_PN1c_00001-11	28	いい	e20
A001n_PN1c_00001-12	2	語りかける	e21
A001n_PN1c_00001-13	10	立っ	e22
A001n_PN1c_00001-13	13	聞く	e23
A001n_PN1c_00001-13	16	持た	e24
A001n_PN1c_00001-14	17	型破り	e25
A001n_PN1c_00001-15	5	苦しむ	e26
A001n_PN1c_00001-15	11	取り上げ	e27
A001n_PN1c_00001-15	16	討論	e28
A001n_PN1c_00001-16	5	様々	e29
A001n_PN1c_00001-16	9	いる	e30
A001n_PN1c_00001-16	16	わかっ	e31
A001n_PN1c_00001-17	7	聞い	e32
A001n_PN1c_00001-18	7	持ち	e33
A001n_PN1c_00001-18	12	自己	e34
A001n_PN1c_00001-18	16	教え	e35
A001n_PN1c_00001-18	28	率先	e36
A001n_PN1c_00001-18	35	言っ	e37
A001n_PN1c_00001-19	7	違っ	e38
A001n_PN1c_00001-20	15	張ら	e39
A001n_PN1c_00001-21	10	言っ	e40
A001n_PN1c_00001-22	2	しゃべる	e41
A001n_PN1c_00001-22	5	得意	e42
A001n_PN1c_00001-22	13	生かし	e43
A001n_PN1c_00001-22	26	評価	e44
A001n_PN1c_00001-23	6	話す	e45
A001n_PN1c_00001-23	9	思っ	e46
A001n_PN1c_00001-23	12	み	e47
A001n_PN1c_00001-24	4	進学	e48
A001n_PN1c_00001-24	12	論理	e49
A001n_PN1c_00001-24	15	考える	e50
A001n_PN1c_00001-24	25	行く	e51
A001n_PN1c_00001-24	27	促し	e52
A001n_PN1c_00001-25	5	デビュー	e53
A001n_PN1c_00001-25	12	活躍	e54
A001n_PN1c_00001-25	19	思う	e55
A001n_PN1c_00001-25	21	つけ	e56
A001n_PN1c_00001-25	27	見	e57
A001n_PN1c_00001-25	35	感謝	e58
A001n_PN1c_00001-26	9	アドバイス	e59
A001n_PN1c_00001-26	14	覚え	e60
A001n_PN1c_00001-27	8	い	e61
A001n_PN1c_00001-27	22	言える	e62
A001n_PN1c_00001-27	28	大切	e63
A001n_PN1c_00001-27	31	思っ	e64
A001n_PN1c_00001-28	2	元気	e65
A001n_PN1c_00001-28	13	生かし	e66
A001n_PN1c_00001-28	22	送る	e67
A001n_PN1c_00001-33	20	報告	e68
A001n_PN1c_00001-33	25	役立てる	e69
A001n_PN1c_00001-33	54	開催	e70
A001n_PN1c_00001-37	25	行う	e71
A001n_PN1c_00001-38	6	乗り	e72
A001n_PN1c_00001-38	10	集め	e73
A001n_PN1c_00001-38	15	届ける	e74
A001n_PN1c_00001-42	11	取り組ん	e75
A001n_PN1c_00001-42	34	除く	e76
A001n_PN1c_00001-42	40	応じる	e77
