event2_sent_id	root2_index	root2_word	root2
A049n_PN1e_00004-1	1	さじき席	root2
A049n_PN1e_00004-2	5	一気	root2
A049n_PN1e_00004-3	5	好調	root2
A049n_PN1e_00004-4	7	完勝	root2
A049n_PN1e_00004-5	29	見せ	root2
A049n_PN1e_00004-6	5	塊	root2
A049n_PN1e_00004-7	15	押し出し	root2
A049n_PN1e_00004-8	4	寄せ付け	root2
A049n_PN1e_00004-9	7	思っ	root2
A049n_PN1e_00004-10	6	出	root2
A049n_PN1e_00004-11	2	通り	root2
A049n_PN1e_00004-12	18	武双山	root2
A049n_PN1e_00004-13	12	やっと	root2
A049n_PN1e_00004-14	29	足り	root2
A049n_PN1e_00004-15	16	なっ	root2
A049n_PN1e_00004-16	25	臨め	root2
A049n_PN1e_00004-17	12	内容	root2
A049n_PN1e_00004-18	12	武双山	root2
A049n_PN1e_00004-19	14	見せつけ	root2
A049n_PN1e_00004-20	4	宏樹	root2
A049n_PN1e_00004-21	10	押し出す	root2
A049n_PN1e_00004-22	4	薬	root2
A049n_PN1e_00004-23	20	快勝	root2
A049n_PN1e_00004-24	18	押し出し	root2
A049n_PN1e_00004-25	12	なっ	root2
A049n_PN1e_00004-26	1	砂かぶり	root2
A049n_PN1e_00004-27	2	効果	root2
A049n_PN1e_00004-28	15	友綱	root2
A049n_PN1e_00004-29	11	押し出し	root2
A049n_PN1e_00004-30	7	でき	root2
A049n_PN1e_00004-31	8	土俵	root2
A049n_PN1e_00004-32	32	苦笑い	root2
A049n_PN1e_00004-33	18	いう	root2
A049n_PN1e_00004-34	6	なくなる	root2
A049n_PN1e_00004-35	3	頑張り	root2
A049n_PN1e_00004-36	4	成績	root2
A049n_PN1e_00004-37	5	合格	root2
A049n_PN1e_00004-38	3	検査	root2
A049n_PN1e_00004-39	27	し	root2
A049n_PN1e_00004-40	71	し	root2
A049n_PN1e_00004-41	10	通り	root2
A049n_PN1e_00004-42	11	体重	root2
A049n_PN1e_00004-43	105	７	root2
A049n_PN1e_00004-44	4	取組	root2
A049n_PN1e_00004-45	6	成績	root2
A049n_PN1e_00004-46	37	場所	root2
A049n_PN1e_00004-47	3	連勝	root2
A049n_PN1e_00004-48	4	出場	root2
A049n_PN1e_00004-49	6	共同	root2
A049n_PN1e_00004-50	45	伸ばし	root2
A049n_PN1e_00004-51	33	し	root2
A049n_PN1e_00004-52	4	なし	root2
A049n_PN1e_00004-53	9	共同	root2
A049n_PN1e_00004-54	32	引き分け	root2
A049n_PN1e_00004-55	33	終わっ	root2
A049n_PN1e_00004-56	1	ゴルフ	root2
A049n_PN1e_00004-57	4	浮上	root2
A049n_PN1e_00004-58	3	Ｃ	root2
A049n_PN1e_00004-59	50	し	root2
A049n_PN1e_00004-60	2	共同	root2
A049n_PN1e_00004-61	5	位	root2
A049n_PN1e_00004-62	3	ツアー	root2
A049n_PN1e_00004-63	6	共同	root2
A049n_PN1e_00004-64	51	位	root2
