event2_sent_id	root2_index	root2_word	root2
A013n_PN1a_00002-1	4	様変わり	root2
A013n_PN1a_00002-2	6	復活	root2
A013n_PN1a_00002-3	10	化	root2
A013n_PN1a_00002-4	8	カ月	root2
A013n_PN1a_00002-5	10	訪問	root2
A013n_PN1a_00002-6	40	ある	root2
A013n_PN1a_00002-7	6	学校	root2
A013n_PN1a_00002-8	12	し	root2
A013n_PN1a_00002-9	3	巡り	root2
A013n_PN1a_00002-10	26	切り替え	root2
A013n_PN1a_00002-11	31	いう	root2
A013n_PN1a_00002-12	12	ため	root2
A013n_PN1a_00002-13	19	日	root2
A013n_PN1a_00002-14	12	できる	root2
A013n_PN1a_00002-15	32	する	root2
A013n_PN1a_00002-16	4	選択	root2
A013n_PN1a_00002-17	16	制	root2
A013n_PN1a_00002-18	18	選ぶ	root2
A013n_PN1a_00002-19	44	話す	root2
A013n_PN1a_00002-20	16	いう	root2
A013n_PN1a_00002-21	24	置く	root2
A013n_PN1a_00002-22	13	い	root2
A013n_PN1a_00002-23	30	理由	root2
A013n_PN1a_00002-24	8	場合	root2
A013n_PN1a_00002-25	43	教委	root2
A013n_PN1a_00002-26	3	通り	root2
A013n_PN1a_00002-27	11	ある	root2
A013n_PN1a_00002-28	21	さ	root2
A013n_PN1a_00002-29	29	いう	root2
A013n_PN1a_00002-30	49	いう	root2
A013n_PN1a_00002-31	19	し	root2
A013n_PN1a_00002-32	9	もどし	root2
A013n_PN1a_00002-33	32	する	root2
A013n_PN1a_00002-34	3	裁量	root2
A013n_PN1a_00002-35	48	で	root2
A013n_PN1a_00002-36	49	する	root2
A013n_PN1a_00002-37	22	行わ	root2
A013n_PN1a_00002-38	34	バラバラ	root2
A013n_PN1a_00002-39	22	いう	root2
A013n_PN1a_00002-40	5	宏	root2
A013n_PN1a_00002-41	2	起源	root2
A013n_PN1a_00002-42	7	説得	root2
A013n_PN1a_00002-43	40	いう	root2
A013n_PN1a_00002-44	45	さ	root2
A013n_PN1a_00002-45	23	なっ	root2
A013n_PN1a_00002-46	28	み	root2
A013n_PN1a_00002-47	28	いう	root2
A013n_PN1a_00002-48	3	気持ち	root2
A013n_PN1a_00002-49	15	話せる	root2
A013n_PN1a_00002-50	11	５	root2
A013n_PN1a_00002-51	24	叫ん	root2
A013n_PN1a_00002-52	11	大変	root2
A013n_PN1a_00002-53	24	もらっ	root2
A013n_PN1a_00002-54	24	多い	root2
A013n_PN1a_00002-55	13	見せ	root2
A013n_PN1a_00002-56	3	ない	root2
A013n_PN1a_00002-57	10	６	root2
A013n_PN1a_00002-58	30	受け	root2
A013n_PN1a_00002-59	11	し	root2
A013n_PN1a_00002-60	10	大仕事	root2
A013n_PN1a_00002-61	12	上がる	root2
A013n_PN1a_00002-62	7	決め	root2
A013n_PN1a_00002-63	7	受け	root2
A013n_PN1a_00002-64	12	程度	root2
A013n_PN1a_00002-65	18	うれしい	root2
A013n_PN1a_00002-66	10	テリトリー	root2
A013n_PN1a_00002-67	14	にくい	root2
A013n_PN1a_00002-68	3	気持ち	root2
A013n_PN1a_00002-69	13	見破る	root2
A013n_PN1a_00002-70	12	９	root2
A013n_PN1a_00002-71	16	通さ	root2
A013n_PN1a_00002-72	15	つかっ	root2
A013n_PN1a_00002-73	11	多い	root2
A013n_PN1a_00002-74	10	０	root2
A013n_PN1a_00002-75	6	わがまま	root2
A013n_PN1a_00002-76	29	変え	root2
A013n_PN1a_00002-77	3	絶え	root2
A013n_PN1a_00002-78	10	１	root2
A013n_PN1a_00002-79	23	多い	root2
A013n_PN1a_00002-80	11	弱	root2
A013n_PN1a_00002-81	20	見え	root2
A013n_PN1a_00002-82	19	思う	root2
A013n_PN1a_00002-83	12	３	root2
A013n_PN1a_00002-84	12	わかる	root2
A013n_PN1a_00002-85	29	っぱなし	root2
A013n_PN1a_00002-86	15	手がかり	root2
A013n_PN1a_00002-87	3	マヨネーズ	root2
A013n_PN1a_00002-88	7	的	root2
A013n_PN1a_00002-89	5	調査	root2
A013n_PN1a_00002-90	18	変化	root2
A013n_PN1a_00002-91	25	出	root2
A013n_PN1a_00002-92	24	うかがわ	root2
A013n_PN1a_00002-93	35	順	root2
