event2_sent_id	event2_index	event2_word	event2_id
A006n_PN3b_00001-2	4	不可欠	e1
A006n_PN3b_00001-6	27	徹底	e2
A006n_PN3b_00001-6	33	始める	e3
A006n_PN3b_00001-7	5	ある	e4
A006n_PN3b_00001-7	16	こなれ	e5
A006n_PN3b_00001-7	22	できる	e6
A006n_PN3b_00001-7	26	鍛える	e7
A006n_PN3b_00001-8	21	見れ	e8
A006n_PN3b_00001-8	29	戦える	e9
A006n_PN3b_00001-8	37	不可欠	e10
A006n_PN3b_00001-8	40	意気	e11
A006n_PN3b_00001-10	12	ある	e12
A006n_PN3b_00001-10	18	消極	e13
A006n_PN3b_00001-10	22	分かり	e14
A006n_PN3b_00001-10	35	いわ	e15
A006n_PN3b_00001-12	3	応じ	e16
A006n_PN3b_00001-12	14	分け	e17
A006n_PN3b_00001-12	30	する	e18
A006n_PN3b_00001-13	4	出し	e19
A006n_PN3b_00001-13	9	添削	e20
A006n_PN3b_00001-13	12	返す	e21
A006n_PN3b_00001-14	7	出	e22
A006n_PN3b_00001-15	3	取れ	e23
A006n_PN3b_00001-15	11	し	e24
A006n_PN3b_00001-15	19	義務	e25
A006n_PN3b_00001-16	10	重視	e26
A006n_PN3b_00001-16	15	あり	e27
A006n_PN3b_00001-16	27	し	e28
A006n_PN3b_00001-16	33	いう	e29
A006n_PN3b_00001-17	26	選ば	e30
A006n_PN3b_00001-18	16	加算	e31
A006n_PN3b_00001-18	30	利用	e32
A006n_PN3b_00001-19	21	あたる	e33
A006n_PN3b_00001-19	34	雇用	e34
A006n_PN3b_00001-19	38	結び	e35
A006n_PN3b_00001-19	56	支払う	e36
A006n_PN3b_00001-19	59	始め	e37
A006n_PN3b_00001-23	18	キス	e38
A006n_PN3b_00001-23	22	でき	e39
A006n_PN3b_00001-23	29	乗り出し	e40
A006n_PN3b_00001-24	5	適用	e41
A006n_PN3b_00001-27	25	“	e42
A006n_PN3b_00001-28	11	告げる	e43
A006n_PN3b_00001-28	22	思わ	e44
A006n_PN3b_00001-29	20	上げ	e45
A006n_PN3b_00001-29	28	演奏	e46
A006n_PN3b_00001-29	32	いう	e47
A006n_PN3b_00001-30	19	寄付	e48
A006n_PN3b_00001-30	22	し	e49
A006n_PN3b_00001-33	6	ない	e50
A006n_PN3b_00001-36	6	経営	e51
A006n_PN3b_00001-36	25	絡み	e52
A006n_PN3b_00001-36	32	問わ	e53
A006n_PN3b_00001-36	70	破棄	e54
A006n_PN3b_00001-36	82	言い渡し	e55
A006n_PN3b_00001-37	7	主張	e56
A006n_PN3b_00001-37	22	認め	e57
A006n_PN3b_00001-38	3	構わ	e58
A006n_PN3b_00001-38	7	調達	e59
A006n_PN3b_00001-38	10	し	e60
A006n_PN3b_00001-39	6	あり	e61
A006n_PN3b_00001-39	9	不	e62
A006n_PN3b_00001-39	14	繰り返し	e63
A006n_PN3b_00001-39	18	し	e64
A006n_PN3b_00001-40	2	断罪	e65
A006n_PN3b_00001-41	4	上告	e66
A006n_PN3b_00001-42	5	減刑	e67
A006n_PN3b_00001-42	42	成立	e68
A006n_PN3b_00001-42	47	あげ	e69
A006n_PN3b_00001-43	21	共謀	e70
A006n_PN3b_00001-43	39	経営	e71
A006n_PN3b_00001-43	49	不正	e72
A006n_PN3b_00001-43	71	ない	e73
A006n_PN3b_00001-43	74	熟知	e74
A006n_PN3b_00001-43	84	懇願	e75
A006n_PN3b_00001-43	93	認め	e76
