event2_sent_id	event2_index	event2_word	event2_id
A043n_PN5a_00003-1	8	減る	e1
A043n_PN5a_00003-2	4	含め	e2
A043n_PN5a_00003-3	7	向け	e3
A043n_PN5a_00003-3	11	決め	e4
A043n_PN5a_00003-3	22	様々	e5
A043n_PN5a_00003-3	26	並ん	e6
A043n_PN5a_00003-4	4	生かし	e7
A043n_PN5a_00003-4	9	推進	e8
A043n_PN5a_00003-4	17	結びつけ	e9
A043n_PN5a_00003-4	21	多い	e10
A043n_PN5a_00003-4	36	逆	e11
A043n_PN5a_00003-4	45	増やす	e12
A043n_PN5a_00003-4	49	ある	e13
A043n_PN5a_00003-4	52	指摘	e14
A043n_PN5a_00003-4	57	あり	e15
A043n_PN5a_00003-4	60	しっかり	e16
A043n_PN5a_00003-4	65	必要	e17
A043n_PN5a_00003-4	69	厳しい	e18
A043n_PN5a_00003-4	72	出	e19
A043n_PN5a_00003-6	2	進め	e20
A043n_PN5a_00003-8	20	減らす	e21
A043n_PN5a_00003-9	24	盛り込ま	e22
A043n_PN5a_00003-10	4	関係	e23
A043n_PN5a_00003-10	12	高い	e24
A043n_PN5a_00003-10	14	さ	e25
A043n_PN5a_00003-11	9	満たす	e26
A043n_PN5a_00003-11	14	出	e27
A043n_PN5a_00003-11	22	進め	e28
A043n_PN5a_00003-11	39	つながる	e29
A043n_PN5a_00003-12	19	設け	e30
A043n_PN5a_00003-13	17	見込む	e31
A043n_PN5a_00003-14	34	高い	e32
A043n_PN5a_00003-14	36	いわ	e33
A043n_PN5a_00003-17	11	打ち出し	e34
A043n_PN5a_00003-18	10	なく	e35
A043n_PN5a_00003-18	19	切り替わる	e36
A043n_PN5a_00003-19	7	起こす	e37
A043n_PN5a_00003-19	16	やめ	e38
A043n_PN5a_00003-19	25	集中	e39
A043n_PN5a_00003-19	30	する	e40
A043n_PN5a_00003-20	6	感知	e41
A043n_PN5a_00003-20	15	スムーズ	e42
A043n_PN5a_00003-20	17	なれ	e43
A043n_PN5a_00003-20	29	抑え	e44
A043n_PN5a_00003-20	32	いう	e45
A043n_PN5a_00003-21	37	比較	e46
A043n_PN5a_00003-21	64	増え	e47
A043n_PN5a_00003-21	87	減っ	e48
A043n_PN5a_00003-22	6	発進	e49
A043n_PN5a_00003-23	7	繰り返す	e50
A043n_PN5a_00003-23	13	大幅	e51
A043n_PN5a_00003-23	17	使い	e52
A043n_PN5a_00003-23	23	増える	e53
A043n_PN5a_00003-24	9	増え	e54
A043n_PN5a_00003-24	16	減り	e55
A043n_PN5a_00003-24	23	節約	e56
A043n_PN5a_00003-24	29	なる	e57
A043n_PN5a_00003-24	31	いう	e58
A043n_PN5a_00003-25	36	切り替え	e59
A043n_PN5a_00003-25	47	減らせる	e60
A043n_PN5a_00003-25	49	する	e61
A043n_PN5a_00003-26	16	緩和	e62
A043n_PN5a_00003-26	24	喚起	e63
A043n_PN5a_00003-26	29	乗る	e64
A043n_PN5a_00003-26	32	増える	e65
A043n_PN5a_00003-26	34	一時	e66
A043n_PN5a_00003-26	39	あっ	e67
A043n_PN5a_00003-26	48	増え	e68
A043n_PN5a_00003-26	53	なる	e69
A043n_PN5a_00003-26	57	ある	e70
A043n_PN5a_00003-26	68	実行	e71
A043n_PN5a_00003-26	74	指摘	e72
A043n_PN5a_00003-27	4	減れ	e73
A043n_PN5a_00003-30	3	進ん	e74
A043n_PN5a_00003-30	8	使い	e75
A043n_PN5a_00003-30	12	離れ	e76
A043n_PN5a_00003-30	17	進める	e77
A043n_PN5a_00003-30	27	いく	e78
A043n_PN5a_00003-30	31	ある	e79
A043n_PN5a_00003-32	24	当たる	e80
A043n_PN5a_00003-32	38	する	e81
A043n_PN5a_00003-32	46	切り替える	e82
A043n_PN5a_00003-32	48	み	e83
A043n_PN5a_00003-33	13	在宅	e84
A043n_PN5a_00003-33	24	減り	e85
A043n_PN5a_00003-33	34	削減	e86
A043n_PN5a_00003-33	37	いう	e87
A043n_PN5a_00003-34	24	様々	e88
A043n_PN5a_00003-34	28	期待	e89
A043n_PN5a_00003-35	9	詳しい	e90
A043n_PN5a_00003-36	9	会う	e91
A043n_PN5a_00003-36	12	なかっ	e92
A043n_PN5a_00003-36	18	連絡	e93
A043n_PN5a_00003-36	21	会わ	e94
A043n_PN5a_00003-36	28	つくる	e95
A043n_PN5a_00003-36	31	ある	e96
A043n_PN5a_00003-36	40	増える	e97
A043n_PN5a_00003-36	44	ある	e98
A043n_PN5a_00003-37	3	受け	e99
A043n_PN5a_00003-37	6	盛ら	e100
A043n_PN5a_00003-38	11	浴び	e101
A043n_PN5a_00003-38	13	盛り込ま	e102
A043n_PN5a_00003-38	19	ある	e103
A043n_PN5a_00003-39	5	予定	e104
A043n_PN5a_00003-40	4	できれ	e105
A043n_PN5a_00003-40	10	使っ	e106
A043n_PN5a_00003-40	16	利用	e107
A043n_PN5a_00003-41	13	小さい	e108
A043n_PN5a_00003-41	18	貢献	e109
A043n_PN5a_00003-42	15	説明	e110
A043n_PN5a_00003-42	32	借り	e111
A043n_PN5a_00003-42	46	入れ	e112
A043n_PN5a_00003-43	19	言える	e113
A043n_PN5a_00003-43	23	部分	e114
A043n_PN5a_00003-43	26	見る	e115
A043n_PN5a_00003-43	31	ある	e116
A043n_PN5a_00003-43	38	相殺	e117
A043n_PN5a_00003-43	42	出る	e118
A043n_PN5a_00003-43	45	多い	e119
A043n_PN5a_00003-43	49	語り	e120
A043n_PN5a_00003-43	55	多面	e121
A043n_PN5a_00003-43	63	訴え	e122
A043n_PN5a_00003-47	7	行く	e123
A043n_PN5a_00003-47	9	強い	e124
A043n_PN5a_00003-47	15	浴び	e125
A043n_PN5a_00003-47	33	多い	e126
A043n_PN5a_00003-48	31	発表	e127
A043n_PN5a_00003-49	3	遊ぶ	e128
A043n_PN5a_00003-49	10	いう	e129
A043n_PN5a_00003-50	6	なる	e130
A043n_PN5a_00003-51	7	挟む	e131
A043n_PN5a_00003-51	11	強い	e132
A043n_PN5a_00003-52	10	あび	e133
A043n_PN5a_00003-52	46	少なかっ	e134
A043n_PN5a_00003-53	10	役立てよう	e135
A043n_PN5a_00003-54	10	過ごす	e136
A043n_PN5a_00003-55	11	いる	e137
A043n_PN5a_00003-55	21	短かっ	e138
A043n_PN5a_00003-56	12	いる	e139
A043n_PN5a_00003-57	18	変色	e140
A043n_PN5a_00003-57	25	つけ	e141
A043n_PN5a_00003-57	35	過ごし	e142
A043n_PN5a_00003-58	8	続け	e143
A043n_PN5a_00003-58	15	算出	e144
A043n_PN5a_00003-59	19	変わっ	e145
A043n_PN5a_00003-59	30	同じ	e146
A043n_PN5a_00003-59	32	いう	e147
A043n_PN5a_00003-60	4	なっ	e148
A043n_PN5a_00003-60	10	悩ま	e149
A043n_PN5a_00003-61	17	知ら	e150
A043n_PN5a_00003-61	21	なっ	e151
A043n_PN5a_00003-61	31	進ん	e152
A043n_PN5a_00003-61	44	訴え	e153
