event1_sent_id	event1_index	event1_word	event1_id	root1_index	root1_word	root1	event2_sent_id	event2_index	event2_word	event2_id	root2_index	root2_word	root2	reltype
A012n_PN4g_00001-4	38	締結	e2	39	し	root1	A012n_PN4g_00001-5	20	提出	e3	21	し	root2	before
A012n_PN4g_00001-5	20	提出	e3	21	し	root1	A012n_PN4g_00001-6	12	採択	e4	13	さ	root2	after
A012n_PN4g_00001-6	12	採択	e4	13	さ	root1	A012n_PN4g_00001-7	6	続い	e5	10	目	root2	after
A012n_PN4g_00001-7	6	続い	e5	10	目	root1	A012n_PN4g_00001-8	32	盛り込ん	e7	32	盛り込ん	root2	during
A012n_PN4g_00001-8	32	盛り込ん	e7	32	盛り込ん	root1	A012n_PN4g_00001-9	45	指定	e14	46	する	root2	contains
A012n_PN4g_00001-9	45	指定	e14	46	する	root1	A012n_PN4g_00001-10	17	発効	e16	18	する	root2	before
A012n_PN4g_00001-10	17	発効	e16	18	する	root1	A012n_PN4g_00001-11	14	取り組ん	e18	45	提唱	root2	during
A012n_PN4g_00001-11	14	取り組ん	e18	45	提唱	root1	A012n_PN4g_00001-12	13	果たし	e21	13	果たし	root2	equal
A012n_PN4g_00001-17	25	表明	e32	26	し	root1	A012n_PN4g_00001-18	36	認め	e36	36	認め	root2	after
A012n_PN4g_00001-18	36	認め	e36	36	認め	root1	A012n_PN4g_00001-19	32	反対	e40	33	し	root2	during
A012n_PN4g_00001-22	43	発表	e43	44	し	root1	A012n_PN4g_00001-23	15	表明	e44	66	述べ	root2	contains
A012n_PN4g_00001-23	15	表明	e44	66	述べ	root1	A012n_PN4g_00001-23	42	意味	e46	66	述べ	root2	during
A012n_PN4g_00001-23	42	意味	e46	66	述べ	root1	A012n_PN4g_00001-23	62	努力	e50	66	述べ	root2	before
A012n_PN4g_00001-23	62	努力	e50	66	述べ	root1	A012n_PN4g_00001-23	66	述べ	e51	66	述べ	root2	after
A012n_PN4g_00001-27	40	決め	e55	40	決め	root1	A012n_PN4g_00001-28	27	つき	e59	28	そう	root2	before
A012n_PN4g_00001-28	27	つき	e59	28	そう	root1	A012n_PN4g_00001-29	50	持た	e64	50	持た	root2	after
A012n_PN4g_00001-33	24	行っ	e65	24	行っ	root1	A012n_PN4g_00001-34	19	向け	e67	24	要請	root2	during
A012n_PN4g_00001-34	19	向け	e67	24	要請	root1	A012n_PN4g_00001-35	70	図り	e72	72	考え	root2	during
A012n_PN4g_00001-35	70	図り	e72	72	考え	root1	A012n_PN4g_00001-36	18	なる	e74	19	見通し	root2	before
