event1_sent_id	event1_index	event1_word	event1_id	root1_index	root1_word	root1	event2_sent_id	event2_index	event2_word	event2_id	root2_index	root2_word	root2	reltype
A054n_PN3b_00004-4	12	いる	e4	12	いる	root1	A054n_PN3b_00004-5	17	思う	e8	22	次第	root2	contains
A054n_PN3b_00004-5	17	思う	e8	22	次第	root1	A054n_PN3b_00004-6	16	向い	e11	16	向い	root2	before
A054n_PN3b_00004-6	16	向い	e11	16	向い	root1	A054n_PN3b_00004-7	7	提案	e13	8	し	root2	after
A054n_PN3b_00004-14	20	洗濯	e24	24	好き	root1	A054n_PN3b_00004-15	26	得	e30	26	得	root2	before
A054n_PN3b_00004-15	26	得	e30	26	得	root1	A054n_PN3b_00004-16	6	広げる	e31	9	よい	root2	vague
A054n_PN3b_00004-17	37	挑戦	e37	42	話す	root1	A054n_PN3b_00004-17	42	話す	e38	42	話す	root2	equal
A054n_PN3b_00004-17	42	話す	e38	42	話す	root1	A054n_PN3b_00004-18	20	言える	e40	20	言える	root2	before
A054n_PN3b_00004-18	20	言える	e40	20	言える	root1	A054n_PN3b_00004-19	8	でき	e42	8	でき	root2	before
A054n_PN3b_00004-19	8	でき	e42	8	でき	root1	A054n_PN3b_00004-20	25	再会	e47	31	いい	root2	before
A054n_PN3b_00004-20	25	再会	e47	31	いい	root1	A054n_PN3b_00004-21	29	浸っ	e52	34	一興	root2	after
A054n_PN3b_00004-21	29	浸っ	e52	34	一興	root1	A054n_PN3b_00004-22	15	でき	e54	15	でき	root2	equal
A054n_PN3b_00004-22	15	でき	e54	15	でき	root1	A054n_PN3b_00004-23	19	いう	e58	19	いう	root2	after
A054n_PN3b_00004-23	19	いう	e58	19	いう	root1	A054n_PN3b_00004-24	22	取っ	e61	22	取っ	root2	during
A054n_PN3b_00004-24	22	取っ	e61	22	取っ	root1	A054n_PN3b_00004-25	17	過ごし	e64	17	過ごし	root2	before
A054n_PN3b_00004-25	17	過ごし	e64	17	過ごし	root1	A054n_PN3b_00004-26	7	楽しむ	e66	7	楽しむ	root2	vague
A054n_PN3b_00004-30	8	過ぎる	e69	8	過ぎる	root1	A054n_PN3b_00004-31	13	楽しま	e70	13	楽しま	root2	contains
A054n_PN3b_00004-31	13	楽しま	e70	13	楽しま	root1	A054n_PN3b_00004-32	27	し	e73	27	し	root2	during
A054n_PN3b_00004-32	27	し	e73	27	し	root1	A054n_PN3b_00004-33	24	調える	e78	24	調える	root2	contains
A054n_PN3b_00004-33	24	調える	e78	24	調える	root1	A054n_PN3b_00004-34	40	注文	e82	41	し	root2	vague
A054n_PN3b_00004-36	20	笑う	e85	20	笑う	root1	A054n_PN3b_00004-37	9	試し	e86	30	薦め	root2	before
A054n_PN3b_00004-37	9	試し	e86	30	薦め	root1	A054n_PN3b_00004-38	32	高まる	e90	33	一方	root2	during
A054n_PN3b_00004-38	32	高まる	e90	33	一方	root1	A054n_PN3b_00004-39	13	ぜいたく	e91	27	よう	root2	vague
A054n_PN3b_00004-39	13	ぜいたく	e91	27	よう	root1	A054n_PN3b_00004-40	19	演出	e96	20	できる	root2	vague
A054n_PN3b_00004-40	19	演出	e96	20	できる	root1	A054n_PN3b_00004-41	27	いう	e98	27	いう	root2	after
A054n_PN3b_00004-41	27	いう	e98	27	いう	root1	A054n_PN3b_00004-42	17	し	e101	17	し	root2	before
