event1_sent_id	event1_index	event1_word	event1_id	root1_index	root1_word	root1	event2_sent_id	event2_index	event2_word	event2_id	root2_index	root2_word	root2	reltype
A018n_PN1g_00002-4	32	合意	e2	33	し	root1	A018n_PN1g_00002-5	29	生産	e4	31	見通し	root2	before
A018n_PN1g_00002-5	29	生産	e4	31	見通し	root1	A018n_PN1g_00002-6	38	確保	e9	42	狙い	root2	before
A018n_PN1g_00002-6	38	確保	e9	42	狙い	root1	A018n_PN1g_00002-7	19	合弁	e10	36	目	root2	after
A018n_PN1g_00002-7	19	合弁	e10	36	目	root1	A018n_PN1g_00002-8	16	交渉	e11	17	し	root2	before
A018n_PN1g_00002-8	16	交渉	e11	17	し	root1	A018n_PN1g_00002-9	29	生産	e12	30	する	root2	vague
A018n_PN1g_00002-9	29	生産	e12	30	する	root1	A018n_PN1g_00002-10	25	目指す	e13	25	目指す	root2	after
A018n_PN1g_00002-10	25	目指す	e13	25	目指す	root1	A018n_PN1g_00002-11	32	発売	e15	33	する	root2	before
A018n_PN1g_00002-13	3	映し	e16	5	色	root1	A018n_PN1g_00002-14	7	認める	e17	7	認める	root2	contains
A018n_PN1g_00002-14	7	認める	e17	7	認める	root1	A018n_PN1g_00002-15	59	なっ	e23	59	なっ	root2	before
A018n_PN1g_00002-17	45	なる	e28	45	なる	root1	A018n_PN1g_00002-18	24	乱発	e31	25	さ	root2	equal
A018n_PN1g_00002-18	24	乱発	e31	25	さ	root1	A018n_PN1g_00002-19	30	異なっ	e34	30	異なっ	root2	before
A018n_PN1g_00002-19	30	異なっ	e34	30	異なっ	root1	A018n_PN1g_00002-20	19	減らす	e38	30	主張	root2	contains
A018n_PN1g_00002-20	19	減らす	e38	30	主張	root1	A018n_PN1g_00002-21	14	臨ん	e43	14	臨ん	root2	after
A018n_PN1g_00002-21	14	臨ん	e43	14	臨ん	root1	A018n_PN1g_00002-22	6	受け	e44	27	続発	root2	after
A018n_PN1g_00002-22	6	受け	e44	27	続発	root1	A018n_PN1g_00002-23	31	許せ	e50	38	強い	root2	before
A018n_PN1g_00002-25	35	反映	e58	36	さ	root1	A018n_PN1g_00002-26	37	設定	e64	40	方	root2	contains
A018n_PN1g_00002-26	37	設定	e64	40	方	root1	A018n_PN1g_00002-27	32	損ない	e69	33	かね	root2	vague
A018n_PN1g_00002-27	32	損ない	e69	33	かね	root1	A018n_PN1g_00002-28	21	抑え	e71	29	本音	root2	vague
