event1_sent_id	event1_index	event1_word	event1_id	root1_index	root1_word	root1	event2_sent_id	event2_index	event2_word	event2_id	root2_index	root2_word	root2	reltype
A007n_PN3g_00001-3	19	実施	e2	20	さ	root1	A007n_PN3g_00001-4	17	し	e4	17	し	root2	after
A007n_PN3g_00001-4	17	し	e4	17	し	root1	A007n_PN3g_00001-5	10	迎え	e5	10	迎え	root2	before
A007n_PN3g_00001-5	10	迎え	e5	10	迎え	root1	A007n_PN3g_00001-6	35	行う	e10	57	つ	root2	before
A007n_PN3g_00001-6	35	行う	e10	57	つ	root1	A007n_PN3g_00001-7	39	期待	e13	93	し	root2	after
A007n_PN3g_00001-7	39	期待	e13	93	し	root1	A007n_PN3g_00001-7	92	質問	e20	93	し	root2	after
A007n_PN3g_00001-15	36	果たす	e26	36	果たす	root1	A007n_PN3g_00001-16	8	感じ	e27	8	感じ	root2	vague
A007n_PN3g_00001-16	8	感じ	e27	8	感じ	root1	A007n_PN3g_00001-17	13	当たれ	e29	13	当たれ	root2	before
A007n_PN3g_00001-17	13	当たれ	e29	13	当たれ	root1	A007n_PN3g_00001-18	10	足り	e30	20	必要	root2	during
A007n_PN3g_00001-18	10	足り	e30	20	必要	root1	A007n_PN3g_00001-19	14	控える	e31	14	控える	root2	contains
A007n_PN3g_00001-21	21	判断	e33	39	意見	root1	A007n_PN3g_00001-22	41	ない	e38	45	意見	root2	before
A007n_PN3g_00001-30	31	判断	e47	32	し	root1	A007n_PN3g_00001-31	18	努め	e51	18	努め	root2	contains
A007n_PN3g_00001-31	18	努め	e51	18	努め	root1	A007n_PN3g_00001-32	18	受け入れ	e54	26	不安	root2	before
A007n_PN3g_00001-43	38	努める	e70	38	努める	root1	A007n_PN3g_00001-44	19	得	e72	23	前提	root2	contains
A007n_PN3g_00001-44	19	得	e72	23	前提	root1	A007n_PN3g_00001-45	18	する	e78	21	必要	root2	vague
A007n_PN3g_00001-45	18	する	e78	21	必要	root1	A007n_PN3g_00001-46	15	差し控える	e79	15	差し控える	root2	after
A007n_PN3g_00001-56	30	尽くす	e90	30	尽くす	root1	A007n_PN3g_00001-57	29	期待	e98	32	点	root2	contains
A007n_PN3g_00001-57	29	期待	e98	32	点	root1	A007n_PN3g_00001-58	28	ある	e103	28	ある	root2	equal
A007n_PN3g_00001-58	28	ある	e103	28	ある	root1	A007n_PN3g_00001-59	12	ある	e105	12	ある	root2	equal
A007n_PN3g_00001-59	12	ある	e105	12	ある	root1	A007n_PN3g_00001-60	16	決める	e108	16	決める	root2	equal
A007n_PN3g_00001-70	23	観念	e115	24	する	root1	A007n_PN3g_00001-71	24	考え	e118	24	考え	root2	equal
A007n_PN3g_00001-71	24	考え	e118	24	考え	root1	A007n_PN3g_00001-72	31	期待	e125	32	さ	root2	contains
A007n_PN3g_00001-76	42	でき	e129	49	意見	root1	A007n_PN3g_00001-77	12	判断	e131	25	長	root2	before
A007n_PN3g_00001-84	38	当たる	e138	38	当たる	root1	A007n_PN3g_00001-85	19	得	e141	37	必要	root2	contains
A007n_PN3g_00001-85	19	得	e141	37	必要	root1	A007n_PN3g_00001-86	22	配慮	e144	27	必要	root2	vague
A007n_PN3g_00001-96	44	考える	e156	44	考える	root1	A007n_PN3g_00001-97	11	かける	e157	11	かける	root2	contains
A007n_PN3g_00001-97	11	かける	e157	11	かける	root1	A007n_PN3g_00001-98	7	理解	e159	13	必要	root2	after
A007n_PN3g_00001-98	7	理解	e159	13	必要	root1	A007n_PN3g_00001-99	12	得	e160	12	得	root2	vague
A007n_PN3g_00001-111	32	努力	e171	37	ない	root1	A007n_PN3g_00001-112	25	占う	e176	30	問題	root2	contains
A007n_PN3g_00001-113	6	育て上げる	e178	11	必要	root1	A007n_PN3g_00001-114	7	交錯	e179	11	問題	root2	after
A007n_PN3g_00001-114	7	交錯	e179	11	問題	root1	A007n_PN3g_00001-115	11	詰める	e183	14	肝心	root2	contains
A007n_PN3g_00001-118	14	当たっ	e185	14	当たっ	root1	A007n_PN3g_00001-119	45	棄却	e188	53	長	root2	vague
A007n_PN3g_00001-126	18	努める	e192	18	努める	root1	A007n_PN3g_00001-127	14	整える	e194	17	重要	root2	contains
A007n_PN3g_00001-127	14	整える	e194	17	重要	root1	A007n_PN3g_00001-128	12	なっ	e196	24	不可欠	root2	before
A007n_PN3g_00001-128	12	なっ	e196	24	不可欠	root1	A007n_PN3g_00001-129	30	期待	e200	31	する	root2	after
A007n_PN3g_00001-135	65	分かっ	e206	65	分かっ	root1	A007n_PN3g_00001-136	10	上昇	e207	24	軒	root2	after
A007n_PN3g_00001-136	10	上昇	e207	24	軒	root1	A007n_PN3g_00001-137	26	ある	e212	26	ある	root2	before
A007n_PN3g_00001-138	42	出	e218	46	分析	root1	A007n_PN3g_00001-139	19	み	e222	19	み	root2	before
A007n_PN3g_00001-139	19	み	e222	19	み	root1	A007n_PN3g_00001-140	34	超え	e224	34	超え	root2	after
A007n_PN3g_00001-140	34	超え	e224	34	超え	root1	A007n_PN3g_00001-141	23	とどまっ	e225	23	とどまっ	root2	equal
A007n_PN3g_00001-141	23	とどまっ	e225	23	とどまっ	root1	A007n_PN3g_00001-142	73	記録	e235	74	し	root2	equal
