event1_sent_id	event1_index	event1_word	event1_id	root1_index	root1_word	root1	event2_sent_id	event2_index	event2_word	event2_id	root2_index	root2_word	root2	reltype
A052n_PN2e_00004-7	38	右傾	e6	47	もっぱら	root1	A052n_PN2e_00004-8	23	正式	e8	25	し	root2	after
A052n_PN2e_00004-8	23	正式	e8	25	し	root1	A052n_PN2e_00004-9	35	担っ	e12	35	担っ	root2	after
A052n_PN2e_00004-10	14	呼ば	e14	21	右腕	root1	A052n_PN2e_00004-11	5	拮抗	e15	16	氏	root2	vague
A052n_PN2e_00004-11	5	拮抗	e15	16	氏	root1	A052n_PN2e_00004-12	23	始まっ	e17	23	始まっ	root2	after
A052n_PN2e_00004-12	23	始まっ	e17	23	始まっ	root1	A052n_PN2e_00004-13	37	得	e22	37	得	root2	before
A052n_PN2e_00004-13	37	得	e22	37	得	root1	A052n_PN2e_00004-14	32	み	e25	32	み	root2	before
A052n_PN2e_00004-14	32	み	e25	32	み	root1	A052n_PN2e_00004-15	22	防ぐ	e28	23	構図	root2	after
A052n_PN2e_00004-15	22	防ぐ	e28	23	構図	root1	A052n_PN2e_00004-16	38	示し	e33	38	示し	root2	before
A052n_PN2e_00004-16	38	示し	e33	38	示し	root1	A052n_PN2e_00004-17	29	高まる	e36	32	確実	root2	before
A052n_PN2e_00004-20	44	さ	e43	44	さ	root1	A052n_PN2e_00004-21	51	発覚	e50	52	し	root2	before
A052n_PN2e_00004-21	51	発覚	e50	52	し	root1	A052n_PN2e_00004-22	22	強まっ	e53	22	強まっ	root2	before
A052n_PN2e_00004-25	43	し	e58	43	し	root1	A052n_PN2e_00004-26	39	とどまっ	e63	39	とどまっ	root2	before
A052n_PN2e_00004-26	39	とどまっ	e63	39	とどまっ	root1	A052n_PN2e_00004-27	36	確実	e66	38	さ	root2	during
A052n_PN2e_00004-27	36	確実	e66	38	さ	root1	A052n_PN2e_00004-28	28	示し	e70	28	示し	root2	contains
A052n_PN2e_00004-28	28	示し	e70	28	示し	root1	A052n_PN2e_00004-29	23	し	e73	23	し	root2	before
A052n_PN2e_00004-34	33	始まっ	e77	33	始まっ	root1	A052n_PN2e_00004-35	35	現す	e81	35	現す	root2	before
A052n_PN2e_00004-35	35	現す	e81	35	現す	root1	A052n_PN2e_00004-36	34	指定	e84	35	し	root2	after
A052n_PN2e_00004-36	34	指定	e84	35	し	root1	A052n_PN2e_00004-37	39	住む	e86	44	状態	root2	before
A052n_PN2e_00004-37	39	住む	e86	44	状態	root1	A052n_PN2e_00004-38	45	行わ	e91	45	行わ	root2	contains
A052n_PN2e_00004-38	45	行わ	e91	45	行わ	root1	A052n_PN2e_00004-39	42	述べ	e95	42	述べ	root2	before
