event1_sent_id	event1_index	event1_word	event1_id	root1_index	root1_word	root1	event2_sent_id	event2_index	event2_word	event2_id	root2_index	root2_word	root2	reltype
A037n_PN2d_00003-5	13	続伸	e3	14	し	root1	A037n_PN2d_00003-6	22	吹き飛ばし	e5	24	格好	root2	equal
A037n_PN2d_00003-6	22	吹き飛ばし	e5	24	格好	root1	A037n_PN2d_00003-7	61	ある	e14	61	ある	root2	before
A037n_PN2d_00003-7	61	ある	e14	61	ある	root1	A037n_PN2d_00003-8	11	追っ	e16	11	追っ	root2	after
A037n_PN2d_00003-12	7	動い	e18	7	動い	root1	A037n_PN2d_00003-13	5	比べ	e19	14	高	root2	before
A037n_PN2d_00003-14	29	示し	e22	29	示し	root1	A037n_PN2d_00003-15	20	あっ	e24	20	あっ	root2	after
A037n_PN2d_00003-17	14	加わっ	e25	14	加わっ	root1	A037n_PN2d_00003-18	9	下落	e26	10	し	root2	after
A037n_PN2d_00003-20	26	開始	e28	27	する	root1	A037n_PN2d_00003-21	39	つながっ	e29	39	つながっ	root2	after
A037n_PN2d_00003-21	39	つながっ	e29	39	つながっ	root1	A037n_PN2d_00003-22	27	かける	e32	27	かける	root2	before
A037n_PN2d_00003-22	27	かける	e32	27	かける	root1	A037n_PN2d_00003-23	33	感じ	e37	34	始め	root2	before
A037n_PN2d_00003-26	26	上げ	e42	27	続け	root1	A037n_PN2d_00003-27	48	誘っ	e46	48	誘っ	root2	contains
A037n_PN2d_00003-28	23	思っ	e48	76	し	root1	A037n_PN2d_00003-28	28	上がっ	e49	76	し	root2	before
A037n_PN2d_00003-28	28	上がっ	e49	76	し	root1	A037n_PN2d_00003-28	74	自画	e54	76	し	root2	before
A037n_PN2d_00003-28	74	自画	e54	76	し	root1	A037n_PN2d_00003-29	38	指摘	e59	39	し	root2	vague
A037n_PN2d_00003-29	38	指摘	e59	39	し	root1	A037n_PN2d_00003-30	20	い	e62	20	い	root2	during
A037n_PN2d_00003-33	19	み	e65	19	み	root1	A037n_PN2d_00003-34	31	出	e68	35	どう	root2	before
A037n_PN2d_00003-37	12	記録	e72	63	する	root1	A037n_PN2d_00003-37	28	判断	e74	63	する	root2	before
A037n_PN2d_00003-37	28	判断	e74	63	する	root1	A037n_PN2d_00003-37	59	握る	e76	63	する	root2	after
A037n_PN2d_00003-37	59	握る	e76	63	する	root1	A037n_PN2d_00003-37	62	指摘	e77	63	する	root2	after
A037n_PN2d_00003-37	62	指摘	e77	63	する	root1	A037n_PN2d_00003-38	20	集まる	e80	20	集まる	root2	before
A037n_PN2d_00003-38	20	集まる	e80	20	集まる	root1	A037n_PN2d_00003-39	46	加速	e83	51	わけ	root2	before
A037n_PN2d_00003-39	46	加速	e83	51	わけ	root1	A037n_PN2d_00003-40	38	みる	e88	38	みる	root2	after
A037n_PN2d_00003-40	38	みる	e88	38	みる	root1	A037n_PN2d_00003-41	37	みる	e90	37	みる	root2	vague
A037n_PN2d_00003-41	37	みる	e90	37	みる	root1	A037n_PN2d_00003-42	55	いう	e97	55	いう	root2	vague
A037n_PN2d_00003-46	35	選出	e98	36	し	root1	A037n_PN2d_00003-47	28	誕生	e100	29	する	root2	before
A037n_PN2d_00003-47	28	誕生	e100	29	する	root1	A037n_PN2d_00003-48	44	続い	e104	44	続い	root2	after
A037n_PN2d_00003-48	44	続い	e104	44	続い	root1	A037n_PN2d_00003-49	29	み	e108	29	み	root2	before
A037n_PN2d_00003-49	29	み	e108	29	み	root1	A037n_PN2d_00003-50	11	選出	e109	12	する	root2	vague
A037n_PN2d_00003-50	11	選出	e109	12	する	root1	A037n_PN2d_00003-51	29	及ば	e111	29	及ば	root2	vague
A037n_PN2d_00003-51	29	及ば	e111	29	及ば	root1	A037n_PN2d_00003-52	28	模索	e112	29	し	root2	contains
A037n_PN2d_00003-52	28	模索	e112	29	し	root1	A037n_PN2d_00003-53	24	要求	e114	31	決裂	root2	contains
A037n_PN2d_00003-53	24	要求	e114	31	決裂	root1	A037n_PN2d_00003-54	30	演じ	e117	30	演じ	root2	before
A037n_PN2d_00003-54	30	演じ	e117	30	演じ	root1	A037n_PN2d_00003-55	45	至っ	e121	45	至っ	root2	before
A037n_PN2d_00003-55	45	至っ	e121	45	至っ	root1	A037n_PN2d_00003-56	3	貫く	e122	7	ガンジー	root2	after
A037n_PN2d_00003-56	3	貫く	e122	7	ガンジー	root1	A037n_PN2d_00003-57	53	射止め	e126	53	射止め	root2	contains
A037n_PN2d_00003-59	27	なっ	e130	37	就任	root1	A037n_PN2d_00003-60	23	結成	e133	24	し	root2	before
