event1_sent_id	event1_index	event1_word	event1_id	root1_index	root1_word	root1	event2_sent_id	event2_index	event2_word	event2_id	root2_index	root2_word	root2	reltype
A010n_PN4c_00001-4	57	し	e4	57	し	root1	A010n_PN4c_00001-5	34	聞い	e5	34	聞い	root2	after
A010n_PN4c_00001-5	34	聞い	e5	34	聞い	root1	A010n_PN4c_00001-6	50	減少	e10	53	し	root2	during
A010n_PN4c_00001-9	43	開か	e15	43	開か	root1	A010n_PN4c_00001-10	23	語っ	e18	23	語っ	root2	after
A010n_PN4c_00001-10	23	語っ	e18	23	語っ	root1	A010n_PN4c_00001-11	7	出し	e19	7	出し	root2	before
A010n_PN4c_00001-13	36	漏らし	e24	36	漏らし	root1	A010n_PN4c_00001-14	18	志し	e26	18	志し	root2	after
A010n_PN4c_00001-14	18	志し	e26	18	志し	root1	A010n_PN4c_00001-15	22	抜てき	e28	31	公子	root2	before
A010n_PN4c_00001-15	22	抜てき	e28	31	公子	root1	A010n_PN4c_00001-16	19	連ね	e30	19	連ね	root2	before
A010n_PN4c_00001-16	19	連ね	e30	19	連ね	root1	A010n_PN4c_00001-17	29	滞在	e33	30	し	root2	after
A010n_PN4c_00001-17	29	滞在	e33	30	し	root1	A010n_PN4c_00001-18	14	運び	e35	23	吸収	root2	contains
A010n_PN4c_00001-18	14	運び	e35	23	吸収	root1	A010n_PN4c_00001-19	16	加え	e40	16	加え	root2	before
A010n_PN4c_00001-19	16	加え	e40	16	加え	root1	A010n_PN4c_00001-20	19	奪わ	e42	19	奪わ	root2	vague
A010n_PN4c_00001-20	19	奪わ	e42	19	奪わ	root1	A010n_PN4c_00001-21	17	食べ	e44	17	食べ	root2	before
A010n_PN4c_00001-21	17	食べ	e44	17	食べ	root1	A010n_PN4c_00001-22	15	通い	e47	16	始め	root2	contains
A010n_PN4c_00001-22	15	通い	e47	16	始め	root1	A010n_PN4c_00001-23	36	使っ	e51	39	料理	root2	before
A010n_PN4c_00001-23	36	使っ	e51	39	料理	root1	A010n_PN4c_00001-24	20	立ち返っ	e54	20	立ち返っ	root2	contains
A010n_PN4c_00001-24	20	立ち返っ	e54	20	立ち返っ	root1	A010n_PN4c_00001-25	20	添える	e59	20	添える	root2	before
A010n_PN4c_00001-27	14	勝負	e61	47	輝か	root1	A010n_PN4c_00001-27	30	味わっ	e63	47	輝か	root2	before
A010n_PN4c_00001-27	30	味わっ	e63	47	輝か	root1	A010n_PN4c_00001-27	40	使い	e64	47	輝か	root2	after
A010n_PN4c_00001-27	40	使い	e64	47	輝か	root1	A010n_PN4c_00001-27	47	輝か	e65	47	輝か	root2	after
A010n_PN4c_00001-27	47	輝か	e65	47	輝か	root1	A010n_PN4c_00001-28	11	つくりだす	e68	13	さん	root2	during
A010n_PN4c_00001-28	11	つくりだす	e68	13	さん	root1	A010n_PN4c_00001-29	36	提供	e70	37	する	root2	contains
