event1_sent_id	event1_index	event1_word	event1_id	root1_index	root1_word	root1	event2_sent_id	event2_index	event2_word	event2_id	root2_index	root2_word	root2	reltype
A042n_PN4g_00003-4	5	取り戻す	e2	5	取り戻す	root1	A042n_PN4g_00003-5	6	受賞	e3	13	さん	root2	before
A042n_PN4g_00003-5	6	受賞	e3	13	さん	root1	A042n_PN4g_00003-6	4	救わ	e5	4	救わ	root2	after
A042n_PN4g_00003-6	4	救わ	e5	4	救わ	root1	A042n_PN4g_00003-7	16	なっ	e7	16	なっ	root2	before
A042n_PN4g_00003-11	10	受賞	e11	14	さん	root1	A042n_PN4g_00003-12	17	手繰り寄せ	e13	17	手繰り寄せ	root2	after
A042n_PN4g_00003-17	9	なっ	e20	9	なっ	root1	A042n_PN4g_00003-18	9	いか	e23	9	いか	root2	before
A042n_PN4g_00003-18	9	いか	e23	9	いか	root1	A042n_PN4g_00003-19	21	し	e27	21	し	root2	equal
A042n_PN4g_00003-19	21	し	e27	21	し	root1	A042n_PN4g_00003-20	13	なっ	e28	15	時期	root2	after
A042n_PN4g_00003-20	13	なっ	e28	15	時期	root1	A042n_PN4g_00003-21	5	追わ	e29	5	追わ	root2	before
A042n_PN4g_00003-21	5	追わ	e29	5	追わ	root1	A042n_PN4g_00003-22	10	相談	e31	24	二	root2	contains
A042n_PN4g_00003-24	9	渡米	e33	10	し	root1	A042n_PN4g_00003-25	15	持っ	e34	15	持っ	root2	before
A042n_PN4g_00003-25	15	持っ	e34	15	持っ	root1	A042n_PN4g_00003-26	19	むさぼり読ん	e37	19	むさぼり読ん	root2	before
A042n_PN4g_00003-26	19	むさぼり読ん	e37	19	むさぼり読ん	root1	A042n_PN4g_00003-27	23	見つめ	e42	23	見つめ	root2	vague
A042n_PN4g_00003-27	23	見つめ	e42	23	見つめ	root1	A042n_PN4g_00003-28	24	言っ	e45	24	言っ	root2	before
A042n_PN4g_00003-28	24	言っ	e45	24	言っ	root1	A042n_PN4g_00003-29	13	繰り返す	e48	13	繰り返す	root2	vague
A042n_PN4g_00003-29	13	繰り返す	e48	13	繰り返す	root1	A042n_PN4g_00003-30	4	通っ	e49	4	通っ	root2	contains
A042n_PN4g_00003-30	4	通っ	e49	4	通っ	root1	A042n_PN4g_00003-31	9	なっ	e52	14	ころ	root2	vague
A042n_PN4g_00003-32	20	表現	e55	31	振り返る	root1	A042n_PN4g_00003-32	31	振り返る	e56	31	振り返る	root2	before
A042n_PN4g_00003-32	31	振り返る	e56	31	振り返る	root1	A042n_PN4g_00003-33	20	誘っ	e59	20	誘っ	root2	after
A042n_PN4g_00003-35	16	飲ま	e61	23	扱い	root1	A042n_PN4g_00003-36	20	安心	e65	21	し	root2	vague
A042n_PN4g_00003-37	15	見	e66	15	見	root1	A042n_PN4g_00003-38	9	ある	e68	9	ある	root2	during
A042n_PN4g_00003-38	9	ある	e68	9	ある	root1	A042n_PN4g_00003-39	6	言う	e71	9	多い	root2	contains
A042n_PN4g_00003-40	18	傾け	e74	18	傾け	root1	A042n_PN4g_00003-41	13	探る	e76	14	娘	root2	during
A042n_PN4g_00003-41	13	探る	e76	14	娘	root1	A042n_PN4g_00003-42	20	支え	e80	20	支え	root2	equal
A042n_PN4g_00003-42	20	支え	e80	20	支え	root1	A042n_PN4g_00003-43	7	書き込ま	e81	19	面白かっ	root2	contains
A042n_PN4g_00003-43	7	書き込ま	e81	19	面白かっ	root1	A042n_PN4g_00003-44	21	き	e87	23	感じ	root2	before
A042n_PN4g_00003-47	23	入っ	e92	23	入っ	root1	A042n_PN4g_00003-48	10	見守っ	e94	10	見守っ	root2	before
A042n_PN4g_00003-48	10	見守っ	e94	10	見守っ	root1	A042n_PN4g_00003-49	37	見せ	e99	37	見せ	root2	before
A042n_PN4g_00003-49	37	見せ	e99	37	見せ	root1	A042n_PN4g_00003-50	25	出版	e100	44	笑う	root2	after
A042n_PN4g_00003-50	44	笑う	e102	44	笑う	root1	A042n_PN4g_00003-51	25	思う	e105	25	思う	root2	vague
A042n_PN4g_00003-51	25	思う	e105	25	思う	root1	A042n_PN4g_00003-52	17	救わ	e109	17	救わ	root2	after
A042n_PN4g_00003-54	15	暮らし	e110	15	暮らし	root1	A042n_PN4g_00003-55	27	落ち着い	e116	27	落ち着い	root2	equal
A042n_PN4g_00003-55	27	落ち着い	e116	27	落ち着い	root1	A042n_PN4g_00003-56	17	出掛ける	e119	17	出掛ける	root2	contains
A042n_PN4g_00003-57	8	加わっ	e120	12	一行	root1	A042n_PN4g_00003-58	8	酌み	e122	9	交わす	root2	vague
A042n_PN4g_00003-58	8	酌み	e122	9	交わす	root1	A042n_PN4g_00003-59	7	付き合う	e123	7	付き合う	root2	equal
A042n_PN4g_00003-59	7	付き合う	e123	7	付き合う	root1	A042n_PN4g_00003-60	10	いう	e125	10	いう	root2	before
